scope,id_size,backbone,method,variant,n,AUROC_mean,FPR95_mean,AUPR_OUT_mean
fair,2,ALL,rsn,main,168,0.916862,0.430698,0.959028
fair,2,dinov2_vitb14,rsn,main,84,0.910695,0.438441,0.956949
fair,2,dinov2_vitl14,rsn,main,84,0.923029,0.422956,0.961107
fair,3,ALL,rsn,main,336,0.896488,0.500462,0.912542
fair,3,dinov2_vitb14,rsn,main,168,0.887966,0.507885,0.907629
fair,3,dinov2_vitl14,rsn,main,168,0.905009,0.493039,0.917455
fair,4,ALL,rsn,main,420,0.878812,0.552805,0.843133
fair,4,dinov2_vitb14,rsn,main,210,0.868121,0.5623,0.834381
fair,4,dinov2_vitl14,rsn,main,210,0.889502,0.543309,0.851884
fair,5,ALL,rsn,main,336,0.862379,0.595234,0.741777
fair,5,dinov2_vitb14,rsn,main,168,0.849583,0.608901,0.728329
fair,5,dinov2_vitl14,rsn,main,168,0.875174,0.581567,0.755226
fair,6,ALL,rsn,main,168,0.845382,0.633589,0.595276
fair,6,dinov2_vitb14,rsn,main,84,0.830386,0.652113,0.57779
fair,6,dinov2_vitl14,rsn,main,84,0.860379,0.615066,0.612762
fair,7,ALL,rsn,main,48,0.822429,0.685728,0.388058
fair,7,dinov2_vitb14,rsn,main,24,0.804576,0.708044,0.370791
fair,7,dinov2_vitl14,rsn,main,24,0.840282,0.663411,0.405324
fair,2,ALL,psm,main,168,0.901416,0.540292,0.94762
fair,2,dinov2_vitb14,psm,main,84,0.889728,0.582284,0.940914
fair,2,dinov2_vitl14,psm,main,84,0.913104,0.498301,0.954325
fair,3,ALL,psm,main,336,0.871783,0.646778,0.882237
fair,3,dinov2_vitb14,psm,main,168,0.85497,0.697776,0.866049
fair,3,dinov2_vitl14,psm,main,168,0.888597,0.595779,0.898425
fair,4,ALL,psm,main,420,0.847189,0.718912,0.788741
fair,4,dinov2_vitb14,psm,main,210,0.826069,0.774359,0.760986
fair,4,dinov2_vitl14,psm,main,210,0.868309,0.663465,0.816496
fair,5,ALL,psm,main,336,0.825526,0.76769,0.664141
fair,5,dinov2_vitb14,psm,main,168,0.800666,0.823052,0.625586
fair,5,dinov2_vitl14,psm,main,168,0.850387,0.712328,0.702695
fair,6,ALL,psm,main,168,0.804351,0.806177,0.504604
fair,6,dinov2_vitb14,psm,main,84,0.776148,0.860588,0.461127
fair,6,dinov2_vitl14,psm,main,84,0.832553,0.751766,0.54808
fair,7,ALL,psm,main,48,0.777371,0.844472,0.304355
fair,7,dinov2_vitb14,psm,main,24,0.744714,0.894214,0.266826
fair,7,dinov2_vitl14,psm,main,24,0.810027,0.79473,0.341884
fair,2,ALL,card,main,168,0.903922,0.477584,0.952694
fair,2,ALL,knn,main,168,0.912603,0.462614,0.956006
fair,2,dinov2_vitb14,card,main,84,0.903215,0.473182,0.952776
fair,2,dinov2_vitb14,knn,main,84,0.905521,0.485458,0.951965
fair,2,dinov2_vitl14,card,main,84,0.904629,0.481985,0.952613
fair,2,dinov2_vitl14,knn,main,84,0.919685,0.43977,0.960047
fair,3,ALL,card,main,336,0.877888,0.589343,0.894771
fair,3,ALL,knn,main,336,0.891039,0.537261,0.905315
fair,3,dinov2_vitb14,card,main,168,0.877068,0.582985,0.894897
fair,3,dinov2_vitb14,knn,main,168,0.880997,0.555749,0.896446
fair,3,dinov2_vitl14,card,main,168,0.878708,0.5957,0.894645
fair,3,dinov2_vitl14,knn,main,168,0.90108,0.518773,0.914184
fair,4,ALL,card,main,420,0.857012,0.666597,0.811213
fair,4,ALL,knn,main,420,0.872917,0.595091,0.83112
fair,4,dinov2_vitb14,card,main,210,0.856447,0.658153,0.812265
fair,4,dinov2_vitb14,knn,main,210,0.86027,0.610071,0.816232
fair,4,dinov2_vitl14,card,main,210,0.857577,0.67504,0.810162
fair,4,dinov2_vitl14,knn,main,210,0.885564,0.580112,0.846008
fair,5,ALL,card,main,336,0.83905,0.722518,0.695533
fair,5,ALL,knn,main,336,0.856499,0.640101,0.725532
fair,5,dinov2_vitb14,card,main,168,0.838969,0.711564,0.698916
fair,5,dinov2_vitb14,knn,main,168,0.841404,0.650118,0.704319
fair,5,dinov2_vitl14,card,main,168,0.83913,0.733473,0.69215
fair,5,dinov2_vitl14,knn,main,168,0.871595,0.630083,0.746745
fair,6,ALL,card,main,168,0.821888,0.768053,0.538193
fair,6,ALL,knn,main,168,0.839741,0.683533,0.577471
fair,6,dinov2_vitb14,card,main,84,0.822194,0.755018,0.544756
fair,6,dinov2_vitb14,knn,main,84,0.822009,0.68957,0.552096
fair,6,dinov2_vitl14,card,main,84,0.821582,0.781087,0.531631
fair,6,dinov2_vitl14,knn,main,84,0.857473,0.677495,0.602847
fair,7,ALL,card,main,48,0.801676,0.806482,0.327526
fair,7,ALL,knn,main,48,0.817101,0.735543,0.372852
fair,7,dinov2_vitb14,card,main,24,0.801371,0.793147,0.338023
fair,7,dinov2_vitb14,knn,main,24,0.795446,0.739496,0.349881
fair,7,dinov2_vitl14,card,main,24,0.801981,0.819816,0.317028
fair,7,dinov2_vitl14,knn,main,24,0.838756,0.731589,0.395822
