method_a,method_b,n_common,all_score_fingerprints_equal,all_metrics_equal
ashb,ashp,168,False,False
ashb,ashs,168,False,False
ashb,dice,168,False,False
ashb,energy,168,False,False
ashb,entropy,168,False,False
ashb,gen,168,False,False
ashb,gradnorm,168,False,False
ashb,kl_matching,168,False,False
ashb,knn,168,False,False
ashb,mahalanobis,168,False,False
ashb,mahalanobispp,168,False,False
ashb,maxlogit,168,False,False
ashb,msp,168,False,False
ashb,nci,168,False,False
ashb,openmax,168,False,False
ashb,react,168,False,False
ashb,rmd,168,False,False
ashb,rsn_paper,168,False,False
ashb,rsn_reported,168,False,False
ashb,scale,168,False,False
ashb,vim,168,False,False
ashp,ashs,168,False,False
ashp,dice,168,False,False
ashp,energy,168,False,False
ashp,entropy,168,False,False
ashp,gen,168,False,False
ashp,gradnorm,168,False,False
ashp,kl_matching,168,False,False
ashp,knn,168,False,False
ashp,mahalanobis,168,False,False
ashp,mahalanobispp,168,False,False
ashp,maxlogit,168,False,False
ashp,msp,168,False,False
ashp,nci,168,False,False
ashp,openmax,168,False,False
ashp,react,168,False,False
ashp,rmd,168,False,False
ashp,rsn_paper,168,False,False
ashp,rsn_reported,168,False,False
ashp,scale,168,False,False
ashp,vim,168,False,False
ashs,dice,168,False,False
ashs,energy,168,False,False
ashs,entropy,168,False,False
ashs,gen,168,False,False
ashs,gradnorm,168,False,False
ashs,kl_matching,168,False,False
ashs,knn,168,False,False
ashs,mahalanobis,168,False,False
ashs,mahalanobispp,168,False,False
ashs,maxlogit,168,False,False
ashs,msp,168,False,False
ashs,nci,168,False,False
ashs,openmax,168,False,False
ashs,react,168,False,False
ashs,rmd,168,False,False
ashs,rsn_paper,168,False,False
ashs,rsn_reported,168,False,False
ashs,scale,168,False,False
ashs,vim,168,False,False
dice,energy,168,False,False
dice,entropy,168,False,False
dice,gen,168,False,False
dice,gradnorm,168,False,False
dice,kl_matching,168,False,False
dice,knn,168,False,False
dice,mahalanobis,168,False,False
dice,mahalanobispp,168,False,False
dice,maxlogit,168,False,False
dice,msp,168,False,False
dice,nci,168,False,False
dice,openmax,168,False,False
dice,react,168,False,False
dice,rmd,168,False,False
dice,rsn_paper,168,False,False
dice,rsn_reported,168,False,False
dice,scale,168,False,False
dice,vim,168,False,False
energy,entropy,168,False,False
energy,gen,168,False,False
energy,gradnorm,168,False,False
energy,kl_matching,168,False,False
energy,knn,168,False,False
energy,mahalanobis,168,False,False
energy,mahalanobispp,168,False,False
energy,maxlogit,168,False,False
energy,msp,168,False,False
energy,nci,168,False,False
energy,openmax,168,False,False
energy,react,168,False,False
energy,rmd,168,False,False
energy,rsn_paper,168,False,False
energy,rsn_reported,168,False,False
energy,scale,168,False,False
energy,vim,168,False,False
entropy,gen,168,False,True
entropy,gradnorm,168,False,False
entropy,kl_matching,168,False,False
entropy,knn,168,False,False
entropy,mahalanobis,168,False,False
entropy,mahalanobispp,168,False,False
entropy,maxlogit,168,False,False
entropy,msp,168,False,True
entropy,nci,168,False,False
entropy,openmax,168,False,False
entropy,react,168,False,False
entropy,rmd,168,False,False
entropy,rsn_paper,168,False,False
entropy,rsn_reported,168,False,False
entropy,scale,168,False,False
entropy,vim,168,False,False
gen,gradnorm,168,False,False
gen,kl_matching,168,False,False
gen,knn,168,False,False
gen,mahalanobis,168,False,False
gen,mahalanobispp,168,False,False
gen,maxlogit,168,False,False
gen,msp,168,False,True
gen,nci,168,False,False
gen,openmax,168,False,False
gen,react,168,False,False
gen,rmd,168,False,False
gen,rsn_paper,168,False,False
gen,rsn_reported,168,False,False
gen,scale,168,False,False
gen,vim,168,False,False
gradnorm,kl_matching,168,False,False
gradnorm,knn,168,False,False
gradnorm,mahalanobis,168,False,False
gradnorm,mahalanobispp,168,False,False
gradnorm,maxlogit,168,False,False
gradnorm,msp,168,False,False
gradnorm,nci,168,False,False
gradnorm,openmax,168,False,False
gradnorm,react,168,False,False
gradnorm,rmd,168,False,False
gradnorm,rsn_paper,168,False,False
gradnorm,rsn_reported,168,False,False
gradnorm,scale,168,False,False
gradnorm,vim,168,False,False
kl_matching,knn,168,False,False
kl_matching,mahalanobis,168,False,False
kl_matching,mahalanobispp,168,False,False
kl_matching,maxlogit,168,False,False
kl_matching,msp,168,False,False
kl_matching,nci,168,False,False
kl_matching,openmax,168,False,False
kl_matching,react,168,False,False
kl_matching,rmd,168,False,False
kl_matching,rsn_paper,168,False,False
kl_matching,rsn_reported,168,False,False
kl_matching,scale,168,False,False
kl_matching,vim,168,False,False
knn,mahalanobis,168,False,False
knn,mahalanobispp,168,False,False
knn,maxlogit,168,False,False
knn,msp,168,False,False
knn,nci,168,False,False
knn,openmax,168,False,False
knn,react,168,False,False
knn,rmd,168,False,False
knn,rsn_paper,168,False,False
knn,rsn_reported,168,False,False
knn,scale,168,False,False
knn,vim,168,False,False
mahalanobis,mahalanobispp,168,False,False
mahalanobis,maxlogit,168,False,False
mahalanobis,msp,168,False,False
mahalanobis,nci,168,False,False
mahalanobis,openmax,168,False,False
mahalanobis,react,168,False,False
mahalanobis,rmd,168,False,False
mahalanobis,rsn_paper,168,False,False
mahalanobis,rsn_reported,168,False,False
mahalanobis,scale,168,False,False
mahalanobis,vim,168,False,False
mahalanobispp,maxlogit,168,False,False
mahalanobispp,msp,168,False,False
mahalanobispp,nci,168,False,False
mahalanobispp,openmax,168,False,False
mahalanobispp,react,168,False,False
mahalanobispp,rmd,168,False,False
mahalanobispp,rsn_paper,168,False,False
mahalanobispp,rsn_reported,168,False,False
mahalanobispp,scale,168,False,False
mahalanobispp,vim,168,False,False
maxlogit,msp,168,False,False
maxlogit,nci,168,False,False
maxlogit,openmax,168,False,False
maxlogit,react,168,False,False
maxlogit,rmd,168,False,False
maxlogit,rsn_paper,168,False,False
maxlogit,rsn_reported,168,False,False
maxlogit,scale,168,False,False
maxlogit,vim,168,False,False
msp,nci,168,False,False
msp,openmax,168,False,False
msp,react,168,False,False
msp,rmd,168,False,False
msp,rsn_paper,168,False,False
msp,rsn_reported,168,False,False
msp,scale,168,False,False
