id_size,method,completed_folds,expected_folds,complete
2,ashb,168,168,True
2,ashp,168,168,True
2,ashs,168,168,True
2,dice,168,168,True
2,energy,168,168,True
2,entropy,168,168,True
2,gen,168,168,True
2,gradnorm,168,168,True
2,kl_matching,168,168,True
2,knn,168,168,True
2,mahalanobis,168,168,True
2,mahalanobispp,168,168,True
2,maxlogit,168,168,True
2,msp,168,168,True
2,nci,168,168,True
2,openmax,168,168,True
2,psm,168,168,True
2,react,168,168,True
2,rmd,168,168,True
2,rsn_paper,168,168,True
2,rsn_reported,168,168,True
2,scale,168,168,True
2,vim,168,168,True
3,ashb,336,336,True
3,ashp,336,336,True
3,ashs,336,336,True
3,dice,336,336,True
3,energy,336,336,True
3,entropy,336,336,True
3,gen,336,336,True
3,gradnorm,336,336,True
3,kl_matching,336,336,True
3,knn,336,336,True
3,mahalanobis,336,336,True
3,mahalanobispp,336,336,True
3,maxlogit,336,336,True
3,msp,336,336,True
3,nci,336,336,True
3,openmax,336,336,True
3,psm,336,336,True
3,react,336,336,True
3,rmd,336,336,True
3,rsn_paper,336,336,True
3,rsn_reported,336,336,True
3,scale,336,336,True
3,vim,336,336,True
4,ashb,420,420,True
4,ashp,420,420,True
4,ashs,420,420,True
4,dice,420,420,True
4,energy,420,420,True
4,entropy,420,420,True
4,gen,420,420,True
4,gradnorm,420,420,True
4,kl_matching,420,420,True
4,knn,420,420,True
4,mahalanobis,420,420,True
4,mahalanobispp,420,420,True
4,maxlogit,420,420,True
4,msp,420,420,True
4,nci,420,420,True
4,openmax,420,420,True
4,psm,420,420,True
4,react,420,420,True
4,rmd,420,420,True
4,rsn_paper,420,420,True
4,rsn_reported,420,420,True
4,scale,420,420,True
4,vim,420,420,True
5,ashb,336,336,True
5,ashp,336,336,True
5,ashs,336,336,True
5,dice,336,336,True
5,energy,336,336,True
5,entropy,336,336,True
5,gen,336,336,True
5,gradnorm,336,336,True
5,kl_matching,336,336,True
5,knn,336,336,True
5,mahalanobis,336,336,True
5,mahalanobispp,336,336,True
5,maxlogit,336,336,True
5,msp,336,336,True
5,nci,336,336,True
5,openmax,336,336,True
5,psm,336,336,True
5,react,336,336,True
5,rmd,336,336,True
5,rsn_paper,336,336,True
5,rsn_reported,336,336,True
5,scale,336,336,True
5,vim,336,336,True
6,ashb,168,168,True
6,ashp,168,168,True
6,ashs,168,168,True
6,dice,168,168,True
6,energy,168,168,True
6,entropy,168,168,True
6,gen,168,168,True
6,gradnorm,168,168,True
6,kl_matching,168,168,True
6,knn,168,168,True
6,mahalanobis,168,168,True
6,mahalanobispp,168,168,True
6,maxlogit,168,168,True
6,msp,168,168,True
6,nci,168,168,True
6,openmax,168,168,True
6,psm,168,168,True
6,react,168,168,True
6,rmd,168,168,True
6,rsn_paper,168,168,True
6,rsn_reported,168,168,True
6,scale,168,168,True
6,vim,168,168,True
7,ashb,48,48,True
7,ashp,48,48,True
7,ashs,48,48,True
7,dice,48,48,True
7,energy,48,48,True
7,entropy,48,48,True
7,gen,48,48,True
7,gradnorm,48,48,True
7,kl_matching,48,48,True
7,knn,48,48,True
7,mahalanobis,48,48,True
7,mahalanobispp,48,48,True
7,maxlogit,48,48,True
7,msp,48,48,True
7,nci,48,48,True
7,openmax,48,48,True
7,psm,48,48,True
7,react,48,48,True
7,rmd,48,48,True
7,rsn_paper,48,48,True
7,rsn_reported,48,48,True
7,scale,48,48,True
7,vim,48,48,True
