backbone,seed,id_size,id_set_id,id_set,method,AUROC,FPR95,AUPR_OUT,source
dinov2_vitb14,0,2,0,cheetah|jaguar,ashb,0.6123971945826261,0.9334194288994117,0.8307759657708356,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,ashb,0.6984316027982488,0.8253632182229685,0.8793348073528153,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,ashb,0.4244105412504383,0.9721836898590932,0.7335549687419374,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,ashb,0.4252515910280757,0.9380111924235902,0.7757876664891774,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,ashp,0.578751989640381,0.9057971014492754,0.8367950265731671,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,ashp,0.3677024689888211,0.9763451850770242,0.7095971932789495,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,ashp,0.4833442357039317,0.9551726655472002,0.7636692828626934,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,ashp,0.5407142100301725,0.93176926388291,0.8135414172321911,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,ashs,0.6287489399336805,0.940235327880614,0.8361169977392379,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,ashs,0.6026339468323939,0.9300576768635468,0.8225151689684806,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,ashs,0.4612674346453719,0.9364327737121538,0.7886002529520033,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,ashs,0.4218098041730086,0.9698474118420092,0.7317839471031304,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,dice,0.8444722502104494,0.7443679150523748,0.9375789679435635,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,dice,0.8526138178781275,0.8007592903555523,0.9359411738714114,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,dice,0.8773150304012749,0.7305926244798393,0.9521653496025856,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,dice,0.8796908802114364,0.6373658465357378,0.94388310831185,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,energy,0.889187284443407,0.3835557468790357,0.9658312726707136,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,energy,0.7994382772120002,0.6484631671168869,0.9276874377396316,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,energy,0.898323052302861,0.3654756780025828,0.968735406270422,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,energy,0.7793528048315733,0.5726071402496897,0.9267220194951724,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,entropy,0.8891680771560154,0.383627493184101,0.9657092021939628,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,entropy,0.7992817517134883,0.6510914798861065,0.927229873555836,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,entropy,0.8983774094149137,0.3654756780025828,0.9687837959368296,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,entropy,0.7793728733943315,0.5726071402496897,0.9264645604755865,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,gen,0.8891680771560154,0.383627493184101,0.9657092021939628,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,gen,0.7992817517134883,0.6510914798861065,0.927229873555836,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,gen,0.8983774094149137,0.3654756780025828,0.9687837959368296,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,gen,0.7793728733943315,0.5726071402496897,0.9264645604755865,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,gradnorm,0.8934261617134347,0.384631941455015,0.966616836314938,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,gradnorm,0.8039888238174,0.6497043148134628,0.9282448519452444,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,gradnorm,0.8991098570821423,0.3681302912899986,0.9689800962560176,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,gradnorm,0.7830593754629821,0.5677885668394539,0.9276082181329396,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,kl_matching,0.8580237783285496,0.4013488305352274,0.9580502739099708,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,kl_matching,0.8688553101844955,0.3845601951499497,0.9611345286760402,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,kl_matching,0.7599072873280981,0.6709498430313208,0.9143312818805044,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,kl_matching,0.7932515295357307,0.5803460611812806,0.9287037791377012,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,knn,0.8965948460738741,0.3705696656622184,0.9659789913870114,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,knn,0.9104944888288996,0.3582536321822296,0.9670979495425012,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,knn,0.9231071975815044,0.3197015353709284,0.9760458466388104,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,knn,0.9278608381936264,0.2811564576184566,0.975638431264241,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,mahalanobis,0.882017639034369,0.4273209929688621,0.9580115424874904,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,mahalanobis,0.8955635153008761,0.3846097685624589,0.9613490161709264,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,mahalanobispp,0.8817353456705699,0.4381546850337207,0.9576517135475692,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,mahalanobis,0.9149839518959596,0.3743722198306787,0.9712086776284532,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,mahalanobis,0.926264309698209,0.3045922464773308,0.9743670984321487,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,mahalanobispp,0.894026579287649,0.3938088632547273,0.9601632589738484,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,maxlogit,0.8891691621478225,0.383627493184101,0.96570977589854,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,maxlogit,0.7993246389753823,0.6506534277579031,0.927261375749392,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,msp,0.8891680771560154,0.383627493184101,0.9657092021939628,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,mahalanobispp,0.9139730523224104,0.38090113359162,0.9708946800541074,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,mahalanobispp,0.9258956799315468,0.3122581587208878,0.9741138760117258,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,msp,0.7992817517134883,0.6510914798861065,0.927229873555836,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,nci,0.8949042528941912,0.491820921222557,0.9584366670057328,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,maxlogit,0.8983563938078442,0.3654039316975175,0.9687775655684722,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,maxlogit,0.7793561588830343,0.5726071402496897,0.9264675155756932,verified_v1
dinov2_vitb14,1,2,14,leopard|ocelot,nci,0.8380918528083158,0.7575381470394977,0.9252468890119884,verified_v1
dinov2_vitb14,0,2,0,cheetah|jaguar,openmax,0.8892013600127932,0.383627493184101,0.965623104744519,verified_v1
dinov2_vitl14,0,2,0,cheetah|jaguar,msp,0.8983774094149137,0.3654756780025828,0.9687837959368296,verified_v1
dinov2_vitl14,1,2,14,leopard|ocelot,msp,0.7793728733943315,0.5726071402496897,0.9264645604755865,verified_v1
