rank,method,id_sizes,mean_rank,mean_AUROC,mean_FPR95,mean_AUPR_OUT
1,rsn_reported,6,2.5,0.870392,0.566419,0.739969
2,openmax,6,3.166667,0.857563,0.62828,0.737994
3,knn,6,4.166667,0.864983,0.609024,0.728049
4,msp,6,4.333333,0.854203,0.66123,0.719258
5,maxlogit,6,5.833333,0.852838,0.660157,0.71828
6,entropy,6,7.5,0.846635,0.656329,0.712854
7,gradnorm,6,9.0,0.84429,0.65832,0.710458
8,gen,6,9.0,0.843824,0.656563,0.710862
9,rmd,6,10.166667,0.840294,0.594871,0.748619
10,vim,6,10.333333,0.838506,0.733731,0.677899
11,mahalanobis,6,10.333333,0.838197,0.725925,0.681982
12,energy,6,10.5,0.842311,0.656412,0.709969
13,scale,6,11.666667,0.836913,0.662286,0.7058
14,kl_matching,6,12.0,0.827142,0.634326,0.723517
15,mahalanobispp,6,12.5,0.83521,0.735972,0.678402
16,dice,6,15.0,0.781545,0.812879,0.642725
17,nci,6,15.166667,0.81526,0.746092,0.673925
18,react,6,17.833333,0.670571,0.853814,0.562323
19,ashs,6,19.833333,0.523921,0.942649,0.452938
20,ashp,6,20.0,0.518681,0.950117,0.445768
21,ashb,6,20.166667,0.510139,0.935417,0.453793
