id_size,metric,rank,method,n,value
2,AUROC,1,rsn_reported,168,0.916862
2,AUROC,2,knn,168,0.912603
2,AUROC,3,vim,168,0.904127
2,AUROC,4,mahalanobis,168,0.900997
2,AUROC,5,mahalanobispp,168,0.898686
2,AUROC,6,dice,168,0.879213
2,AUROC,7,entropy,168,0.844001
2,AUROC,8,gen,168,0.844001
2,AUROC,9,msp,168,0.844001
2,AUROC,10,openmax,168,0.843987
2,AUROC,11,maxlogit,168,0.843984
2,AUROC,12,energy,168,0.843947
2,AUROC,13,gradnorm,168,0.842954
2,AUROC,14,scale,168,0.834263
2,AUROC,15,rmd,168,0.831433
2,AUROC,16,kl_matching,168,0.79959
2,AUROC,17,nci,168,0.798892
2,AUROC,18,react,168,0.600586
2,AUROC,19,ashb,168,0.495749
2,AUROC,20,ashp,168,0.49341
2,AUROC,21,ashs,168,0.487896
2,FPR95,1,rsn_reported,168,0.430698
2,FPR95,2,knn,168,0.462615
2,FPR95,3,entropy,168,0.529235
2,FPR95,4,gen,168,0.529235
2,FPR95,5,msp,168,0.529235
2,FPR95,6,openmax,168,0.529258
2,FPR95,7,maxlogit,168,0.529286
2,FPR95,8,energy,168,0.529334
2,FPR95,9,gradnorm,168,0.532553
2,FPR95,10,scale,168,0.542462
2,FPR95,11,vim,168,0.543616
2,FPR95,12,mahalanobis,168,0.547387
2,FPR95,13,kl_matching,168,0.549843
2,FPR95,14,mahalanobispp,168,0.561773
2,FPR95,15,rmd,168,0.569375
2,FPR95,16,nci,168,0.66484
2,FPR95,17,dice,168,0.722989
2,FPR95,18,react,168,0.894919
2,FPR95,19,ashb,168,0.930959
2,FPR95,20,ashs,168,0.948264
2,FPR95,21,ashp,168,0.953373
2,AUPR_OUT,1,rsn_reported,168,0.959028
2,AUPR_OUT,2,knn,168,0.956006
2,AUPR_OUT,3,vim,168,0.948207
2,AUPR_OUT,4,mahalanobis,168,0.947027
2,AUPR_OUT,5,mahalanobispp,168,0.945323
2,AUPR_OUT,6,entropy,168,0.935652
2,AUPR_OUT,7,gen,168,0.935652
2,AUPR_OUT,8,msp,168,0.935652
2,AUPR_OUT,9,maxlogit,168,0.935645
2,AUPR_OUT,10,energy,168,0.935609
2,AUPR_OUT,11,openmax,168,0.935609
2,AUPR_OUT,12,gradnorm,168,0.935045
2,AUPR_OUT,13,scale,168,0.932026
2,AUPR_OUT,14,dice,168,0.929222
2,AUPR_OUT,15,rmd,168,0.928721
2,AUPR_OUT,16,kl_matching,168,0.920125
2,AUPR_OUT,17,nci,168,0.904281
2,AUPR_OUT,18,react,168,0.788768
2,AUPR_OUT,19,ashb,168,0.752388
2,AUPR_OUT,20,ashs,168,0.739502
2,AUPR_OUT,21,ashp,168,0.73806
3,AUROC,1,rsn_reported,336,0.896488
3,AUROC,2,knn,336,0.891039
3,AUROC,3,vim,336,0.875766
3,AUROC,4,openmax,336,0.873806
3,AUROC,5,mahalanobis,336,0.872067
3,AUROC,6,msp,336,0.871704
3,AUROC,7,gradnorm,336,0.870594
3,AUROC,8,maxlogit,336,0.870492
3,AUROC,9,mahalanobispp,336,0.869293
3,AUROC,10,entropy,336,0.868573
3,AUROC,11,gen,336,0.867854
3,AUROC,12,energy,336,0.865975
3,AUROC,13,scale,336,0.857883
3,AUROC,14,rmd,336,0.847729
3,AUROC,15,dice,336,0.843017
3,AUROC,16,kl_matching,336,0.833541
3,AUROC,17,nci,336,0.829266
3,AUROC,18,react,336,0.644285
3,AUROC,19,ashb,336,0.505871
3,AUROC,20,ashp,336,0.503389
3,AUROC,21,ashs,336,0.502206
3,FPR95,1,rsn_reported,336,0.500462
3,FPR95,2,knn,336,0.537261
3,FPR95,3,energy,336,0.549288
3,FPR95,4,gen,336,0.550304
3,FPR95,5,entropy,336,0.550599
3,FPR95,6,rmd,336,0.553791
3,FPR95,7,scale,336,0.557728
3,FPR95,8,gradnorm,336,0.559517
3,FPR95,9,maxlogit,336,0.561974
3,FPR95,10,msp,336,0.565216
3,FPR95,11,openmax,336,0.574981
3,FPR95,12,kl_matching,336,0.58093
3,FPR95,13,mahalanobis,336,0.653577
3,FPR95,14,vim,336,0.656952
3,FPR95,15,mahalanobispp,336,0.666086
3,FPR95,16,nci,336,0.679598
3,FPR95,17,dice,336,0.788859
3,FPR95,18,react,336,0.871925
3,FPR95,19,ashb,336,0.934859
3,FPR95,20,ashs,336,0.948485
3,FPR95,21,ashp,336,0.956695
3,AUPR_OUT,1,rsn_reported,336,0.912542
3,AUPR_OUT,2,knn,336,0.905315
3,AUPR_OUT,3,openmax,336,0.902671
3,AUPR_OUT,4,msp,336,0.902616
3,AUPR_OUT,5,entropy,336,0.902507
3,AUPR_OUT,6,gradnorm,336,0.902491
3,AUPR_OUT,7,maxlogit,336,0.902442
3,AUPR_OUT,8,gen,336,0.902227
3,AUPR_OUT,9,energy,336,0.901469
3,AUPR_OUT,10,scale,336,0.896336
3,AUPR_OUT,11,rmd,336,0.893146
3,AUPR_OUT,12,kl_matching,336,0.88326
3,AUPR_OUT,13,vim,336,0.883254
3,AUPR_OUT,14,mahalanobis,336,0.881574
3,AUPR_OUT,15,mahalanobispp,336,0.878477
3,AUPR_OUT,16,nci,336,0.858789
3,AUPR_OUT,17,dice,336,0.854137
3,AUPR_OUT,18,react,336,0.715081
3,AUPR_OUT,19,ashb,336,0.634221
3,AUPR_OUT,20,ashs,336,0.623574
3,AUPR_OUT,21,ashp,336,0.618235
4,AUROC,1,rsn_reported,420,0.878812
4,AUROC,2,openmax,420,0.87414
4,AUROC,3,knn,420,0.872917
4,AUROC,4,msp,420,0.870876
4,AUROC,5,maxlogit,420,0.869497
4,AUROC,6,gradnorm,420,0.867591
4,AUROC,7,entropy,420,0.866
4,AUROC,8,gen,420,0.864095
4,AUROC,9,energy,420,0.862407
4,AUROC,10,scale,420,0.853335
4,AUROC,11,vim,420,0.850153
4,AUROC,12,mahalanobis,420,0.847891
4,AUROC,13,rmd,420,0.847859
4,AUROC,14,mahalanobispp,420,0.844862
4,AUROC,15,kl_matching,420,0.83801
4,AUROC,16,nci,420,0.832846
4,AUROC,17,dice,420,0.804239
4,AUROC,18,react,420,0.674646
4,AUROC,19,ashs,420,0.525229
4,AUROC,20,ashp,420,0.512142
4,AUROC,21,ashb,420,0.511498
4,FPR95,1,rsn_reported,420,0.552805
4,FPR95,2,rmd,420,0.575771
4,FPR95,3,knn,420,0.595091
