rank,backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
1,ALL,2,rsn_reported,168,0.916862,0.430698,0.959028
2,ALL,2,knn,168,0.912603,0.462615,0.956006
3,ALL,2,vim,168,0.904127,0.543616,0.948207
4,ALL,2,psm,168,0.901416,0.540292,0.94762
5,ALL,2,mahalanobis,168,0.900997,0.547387,0.947027
6,ALL,2,mahalanobispp,168,0.898686,0.561773,0.945323
7,ALL,2,dice,168,0.879213,0.722989,0.929222
8,ALL,2,entropy,168,0.844001,0.529235,0.935652
9,ALL,2,gen,168,0.844001,0.529235,0.935652
10,ALL,2,msp,168,0.844001,0.529235,0.935652
11,ALL,2,openmax,168,0.843987,0.529258,0.935609
12,ALL,2,maxlogit,168,0.843984,0.529286,0.935645
13,ALL,2,energy,168,0.843947,0.529334,0.935609
14,ALL,2,gradnorm,168,0.842954,0.532553,0.935045
15,ALL,2,scale,168,0.834263,0.542462,0.932026
16,ALL,2,rmd,168,0.831433,0.569375,0.928721
17,ALL,2,kl_matching,168,0.79959,0.549843,0.920125
18,ALL,2,nci,168,0.798892,0.66484,0.904281
19,ALL,2,react,168,0.600586,0.894919,0.788768
20,ALL,2,ashb,168,0.495749,0.930959,0.752388
21,ALL,2,ashp,168,0.49341,0.953373,0.73806
22,ALL,2,ashs,168,0.487896,0.948264,0.739502
1,ALL,3,rsn_reported,336,0.896488,0.500462,0.912542
2,ALL,3,knn,336,0.891039,0.537261,0.905315
3,ALL,3,vim,336,0.875766,0.656952,0.883254
4,ALL,3,openmax,336,0.873806,0.574981,0.902671
5,ALL,3,mahalanobis,336,0.872067,0.653577,0.881574
6,ALL,3,psm,336,0.871783,0.646778,0.882237
7,ALL,3,msp,336,0.871704,0.565216,0.902616
8,ALL,3,gradnorm,336,0.870594,0.559517,0.902491
9,ALL,3,maxlogit,336,0.870492,0.561974,0.902442
10,ALL,3,mahalanobispp,336,0.869293,0.666086,0.878477
11,ALL,3,entropy,336,0.868573,0.550599,0.902507
12,ALL,3,gen,336,0.867854,0.550304,0.902227
13,ALL,3,energy,336,0.865975,0.549288,0.901469
14,ALL,3,scale,336,0.857883,0.557728,0.896336
15,ALL,3,rmd,336,0.847729,0.553791,0.893146
16,ALL,3,dice,336,0.843017,0.788859,0.854137
17,ALL,3,kl_matching,336,0.833541,0.58093,0.88326
18,ALL,3,nci,336,0.829266,0.679598,0.858789
19,ALL,3,react,336,0.644285,0.871925,0.715081
20,ALL,3,ashb,336,0.505871,0.934859,0.634221
21,ALL,3,ashp,336,0.503389,0.956695,0.618235
22,ALL,3,ashs,336,0.502206,0.948485,0.623574
1,ALL,4,rsn_reported,420,0.878812,0.552805,0.843133
2,ALL,4,openmax,420,0.87414,0.615869,0.84228
3,ALL,4,knn,420,0.872917,0.595091,0.83112
4,ALL,4,msp,420,0.870876,0.617658,0.840954
5,ALL,4,maxlogit,420,0.869497,0.613432,0.840673
6,ALL,4,gradnorm,420,0.867591,0.601876,0.84017
7,ALL,4,entropy,420,0.866,0.599292,0.840498
8,ALL,4,gen,420,0.864095,0.599154,0.839511
9,ALL,4,energy,420,0.862407,0.599007,0.838623
10,ALL,4,scale,420,0.853335,0.608654,0.830322
11,ALL,4,vim,420,0.850153,0.73233,0.788095
12,ALL,4,mahalanobis,420,0.847891,0.724894,0.788367
13,ALL,4,rmd,420,0.847859,0.575771,0.837577
14,ALL,4,psm,420,0.847189,0.718912,0.788741
15,ALL,4,mahalanobispp,420,0.844862,0.735126,0.784116
16,ALL,4,kl_matching,420,0.83801,0.625833,0.820402
17,ALL,4,nci,420,0.832846,0.71827,0.784857
18,ALL,4,dice,420,0.804239,0.816218,0.751639
19,ALL,4,react,420,0.674646,0.839798,0.645976
20,ALL,4,ashs,420,0.525229,0.942246,0.518418
21,ALL,4,ashp,420,0.512142,0.954607,0.501515
22,ALL,4,ashb,420,0.511498,0.933865,0.518004
1,ALL,5,openmax,336,0.865778,0.656373,0.746032
2,ALL,5,rsn_reported,336,0.862379,0.595234,0.741777
3,ALL,5,msp,336,0.860744,0.681303,0.736174
4,ALL,5,maxlogit,336,0.859113,0.679567,0.735371
5,ALL,5,knn,336,0.856499,0.6401,0.725532
6,ALL,5,entropy,336,0.853,0.670242,0.732611
7,ALL,5,gradnorm,336,0.852483,0.671684,0.730585
8,ALL,5,gen,336,0.84975,0.670032,0.730478
9,ALL,5,energy,336,0.848047,0.669812,0.729421
10,ALL,5,scale,336,0.846565,0.6705,0.72708
11,ALL,5,rmd,336,0.845797,0.601826,0.756151
12,ALL,5,kl_matching,336,0.836222,0.662402,0.726478
13,ALL,5,mahalanobis,336,0.826339,0.773237,0.664185
14,ALL,5,vim,336,0.826204,0.784752,0.659655
15,ALL,5,psm,336,0.825526,0.76769,0.664141
16,ALL,5,nci,336,0.825011,0.762499,0.67296
17,ALL,5,mahalanobispp,336,0.823161,0.78212,0.659361
18,ALL,5,dice,336,0.764434,0.83371,0.617513
19,ALL,5,react,336,0.681473,0.838879,0.542362
20,ALL,5,ashs,336,0.54362,0.940381,0.406402
21,ALL,5,ashp,336,0.539387,0.946502,0.398405
22,ALL,5,ashb,336,0.516418,0.936816,0.398353
1,ALL,6,openmax,168,0.853413,0.686254,0.604408
2,ALL,6,msp,168,0.847459,0.750647,0.570364
3,ALL,6,maxlogit,168,0.845568,0.750971,0.568455
4,ALL,6,rsn_reported,168,0.845382,0.633589,0.595276
5,ALL,6,rmd,168,0.840512,0.624516,0.633876
6,ALL,6,knn,168,0.839741,0.683533,0.577471
7,ALL,6,entropy,168,0.835259,0.751498,0.557752
8,ALL,6,kl_matching,168,0.832834,0.684377,0.59366
9,ALL,6,gradnorm,168,0.830579,0.75024,0.552608
10,ALL,6,gen,168,0.83042,0.752109,0.553911
11,ALL,6,energy,168,0.828573,0.752008,0.552577
12,ALL,6,scale,168,0.824629,0.754488,0.547387
13,ALL,6,nci,168,0.812192,0.805226,0.515583
14,ALL,6,mahalanobis,168,0.804893,0.810184,0.505061
15,ALL,6,psm,168,0.804351,0.806177,0.504604
16,ALL,6,vim,168,0.802297,0.824764,0.495534
17,ALL,6,mahalanobispp,168,0.801617,0.818296,0.500567
18,ALL,6,dice,168,0.721918,0.850421,0.447416
19,ALL,6,react,168,0.676024,0.862474,0.394317
20,ALL,6,ashp,168,0.538393,0.94365,0.276171
21,ALL,6,ashs,168,0.53473,0.942065,0.276136
22,ALL,6,ashb,168,0.500984,0.94308,0.265453
1,ALL,7,openmax,48,0.834254,0.706946,0.396961
2,ALL,7,msp,48,0.830435,0.823318,0.32979
3,ALL,7,rmd,48,0.828435,0.643945,0.442245
4,ALL,7,maxlogit,48,0.828374,0.825712,0.327095
5,ALL,7,kl_matching,48,0.822657,0.70257,0.397176
6,ALL,7,rsn_reported,48,0.822429,0.685728,0.388058
7,ALL,7,knn,48,0.817101,0.735543,0.372852
8,ALL,7,entropy,48,0.812976,0.837108,0.308102
9,ALL,7,gen,48,0.806822,0.838543,0.30339
10,ALL,7,energy,48,0.804916,0.83902,0.302114
11,ALL,7,scale,48,0.804801,0.839882,0.301652
12,ALL,7,gradnorm,48,0.801538,0.834049,0.301852
13,ALL,7,nci,48,0.793354,0.846117,0.30708
14,ALL,7,psm,48,0.777371,0.844472,0.304355
