backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
ALL,2,ashb,168,0.495749,0.930959,0.752388
ALL,2,ashp,168,0.49341,0.953373,0.73806
ALL,2,ashs,168,0.487896,0.948264,0.739502
ALL,2,dice,168,0.879213,0.722989,0.929222
ALL,2,energy,168,0.843947,0.529334,0.935609
ALL,2,entropy,168,0.844001,0.529235,0.935652
ALL,2,gen,168,0.844001,0.529235,0.935652
ALL,2,gradnorm,168,0.842954,0.532553,0.935045
ALL,2,kl_matching,168,0.79959,0.549843,0.920125
ALL,2,knn,168,0.912603,0.462615,0.956006
ALL,2,mahalanobis,168,0.900997,0.547387,0.947027
ALL,2,mahalanobispp,168,0.898686,0.561773,0.945323
ALL,2,maxlogit,168,0.843984,0.529286,0.935645
ALL,2,msp,168,0.844001,0.529235,0.935652
ALL,2,nci,168,0.798892,0.66484,0.904281
ALL,2,openmax,168,0.843987,0.529258,0.935609
ALL,2,react,168,0.600586,0.894919,0.788768
ALL,2,rmd,168,0.831433,0.569375,0.928721
ALL,2,rsn_paper,168,0.908572,0.452207,0.956127
ALL,2,rsn_reported,168,0.916862,0.430698,0.959028
ALL,2,scale,168,0.834263,0.542462,0.932026
ALL,2,vim,168,0.904127,0.543616,0.948207
dinov2_vitb14,2,ashb,84,0.474822,0.936141,0.741004
dinov2_vitb14,2,ashp,84,0.487309,0.953597,0.732635
dinov2_vitb14,2,ashs,84,0.466342,0.95796,0.725099
dinov2_vitb14,2,dice,84,0.859779,0.771064,0.920137
dinov2_vitb14,2,energy,84,0.845543,0.551882,0.934415
dinov2_vitb14,2,entropy,84,0.845537,0.551941,0.934344
dinov2_vitb14,2,gen,84,0.845537,0.551941,0.934344
dinov2_vitb14,2,gradnorm,84,0.844802,0.557629,0.933568
dinov2_vitb14,2,kl_matching,84,0.788899,0.574065,0.914754
dinov2_vitb14,2,knn,84,0.905521,0.485459,0.951965
dinov2_vitb14,2,mahalanobis,84,0.888087,0.593468,0.939628
dinov2_vitb14,2,mahalanobispp,84,0.885051,0.61349,0.937189
dinov2_vitb14,2,maxlogit,84,0.845538,0.551933,0.934346
dinov2_vitb14,2,msp,84,0.845537,0.551941,0.934344
dinov2_vitb14,2,nci,84,0.781838,0.740838,0.890569
dinov2_vitb14,2,openmax,84,0.845528,0.551934,0.934294
dinov2_vitb14,2,react,84,0.60149,0.911334,0.785504
dinov2_vitb14,2,rmd,84,0.800373,0.567027,0.919714
dinov2_vitb14,2,rsn_paper,84,0.906561,0.450367,0.955801
dinov2_vitb14,2,rsn_reported,84,0.910695,0.438441,0.956949
dinov2_vitb14,2,scale,84,0.830629,0.562359,0.929733
dinov2_vitb14,2,vim,84,0.890501,0.591446,0.940597
dinov2_vitl14,2,ashb,84,0.516677,0.925777,0.763772
dinov2_vitl14,2,ashp,84,0.49951,0.953148,0.743484
dinov2_vitl14,2,ashs,84,0.50945,0.938567,0.753904
dinov2_vitl14,2,dice,84,0.898646,0.674914,0.938307
dinov2_vitl14,2,energy,84,0.842351,0.506786,0.936802
dinov2_vitl14,2,entropy,84,0.842465,0.506529,0.93696
dinov2_vitl14,2,gen,84,0.842465,0.506529,0.93696
