method_a,method_b,n_common,all_score_fingerprints_equal,all_metrics_equal
ashb,ashp,1476,False,False
ashb,ashs,1476,False,False
ashb,dice,1476,False,False
ashb,energy,1476,False,False
ashb,entropy,1476,False,False
ashb,gen,1476,False,False
ashb,gradnorm,1476,False,False
ashb,kl_matching,1476,False,False
ashb,knn,1476,False,False
ashb,mahalanobis,1476,False,False
ashb,mahalanobispp,1476,False,False
ashb,maxlogit,1476,False,False
ashb,msp,1476,False,False
ashb,nci,1476,False,False
ashb,openmax,1476,False,False
ashb,react,1476,False,False
ashb,rmd,1476,False,False
ashb,rsn_paper,1476,False,False
ashb,rsn_reported,1476,False,False
ashb,scale,1476,False,False
ashb,vim,1476,False,False
ashp,ashs,1476,False,False
ashp,dice,1476,False,False
ashp,energy,1476,False,False
ashp,entropy,1476,False,False
ashp,gen,1476,False,False
ashp,gradnorm,1476,False,False
ashp,kl_matching,1476,False,False
ashp,knn,1476,False,False
ashp,mahalanobis,1476,False,False
ashp,mahalanobispp,1476,False,False
ashp,maxlogit,1476,False,False
ashp,msp,1476,False,False
ashp,nci,1476,False,False
ashp,openmax,1476,False,False
ashp,react,1476,False,False
ashp,rmd,1476,False,False
ashp,rsn_paper,1476,False,False
ashp,rsn_reported,1476,False,False
ashp,scale,1476,False,False
ashp,vim,1476,False,False
ashs,dice,1476,False,False
ashs,energy,1476,False,False
ashs,entropy,1476,False,False
ashs,gen,1476,False,False
ashs,gradnorm,1476,False,False
ashs,kl_matching,1476,False,False
ashs,knn,1476,False,False
ashs,mahalanobis,1476,False,False
ashs,mahalanobispp,1476,False,False
ashs,maxlogit,1476,False,False
ashs,msp,1476,False,False
ashs,nci,1476,False,False
ashs,openmax,1476,False,False
ashs,react,1476,False,False
ashs,rmd,1476,False,False
ashs,rsn_paper,1476,False,False
ashs,rsn_reported,1476,False,False
ashs,scale,1476,False,False
ashs,vim,1476,False,False
dice,energy,1476,False,False
dice,entropy,1476,False,False
dice,gen,1476,False,False
dice,gradnorm,1476,False,False
dice,kl_matching,1476,False,False
dice,knn,1476,False,False
dice,mahalanobis,1476,False,False
dice,mahalanobispp,1476,False,False
dice,maxlogit,1476,False,False
dice,msp,1476,False,False
dice,nci,1476,False,False
dice,openmax,1476,False,False
dice,react,1476,False,False
dice,rmd,1476,False,False
dice,rsn_paper,1476,False,False
dice,rsn_reported,1476,False,False
dice,scale,1476,False,False
dice,vim,1476,False,False
energy,entropy,1476,False,False
energy,gen,1476,False,False
energy,gradnorm,1476,False,False
energy,kl_matching,1476,False,False
energy,knn,1476,False,False
energy,mahalanobis,1476,False,False
energy,mahalanobispp,1476,False,False
energy,maxlogit,1476,False,False
energy,msp,1476,False,False
energy,nci,1476,False,False
energy,openmax,1476,False,False
energy,react,1476,False,False
energy,rmd,1476,False,False
energy,rsn_paper,1476,False,False
energy,rsn_reported,1476,False,False
energy,scale,1476,False,False
energy,vim,1476,False,False
entropy,gen,1476,False,False
entropy,gradnorm,1476,False,False
entropy,kl_matching,1476,False,False
entropy,knn,1476,False,False
entropy,mahalanobis,1476,False,False
entropy,mahalanobispp,1476,False,False
entropy,maxlogit,1476,False,False
entropy,msp,1476,False,False
entropy,nci,1476,False,False
entropy,openmax,1476,False,False
entropy,react,1476,False,False
entropy,rmd,1476,False,False
entropy,rsn_paper,1476,False,False
entropy,rsn_reported,1476,False,False
entropy,scale,1476,False,False
entropy,vim,1476,False,False
gen,gradnorm,1476,False,False
gen,kl_matching,1476,False,False
gen,knn,1476,False,False
gen,mahalanobis,1476,False,False
gen,mahalanobispp,1476,False,False
gen,maxlogit,1476,False,False
gen,msp,1476,False,False
gen,nci,1476,False,False
gen,openmax,1476,False,False
gen,react,1476,False,False
gen,rmd,1476,False,False
gen,rsn_paper,1476,False,False
gen,rsn_reported,1476,False,False
gen,scale,1476,False,False
gen,vim,1476,False,False
gradnorm,kl_matching,1476,False,False
gradnorm,knn,1476,False,False
gradnorm,mahalanobis,1476,False,False
gradnorm,mahalanobispp,1476,False,False
gradnorm,maxlogit,1476,False,False
gradnorm,msp,1476,False,False
gradnorm,nci,1476,False,False
gradnorm,openmax,1476,False,False
gradnorm,react,1476,False,False
gradnorm,rmd,1476,False,False
gradnorm,rsn_paper,1476,False,False
gradnorm,rsn_reported,1476,False,False
gradnorm,scale,1476,False,False
gradnorm,vim,1476,False,False
kl_matching,knn,1476,False,False
kl_matching,mahalanobis,1476,False,False
kl_matching,mahalanobispp,1476,False,False
kl_matching,maxlogit,1476,False,False
kl_matching,msp,1476,False,False
kl_matching,nci,1476,False,False
kl_matching,openmax,1476,False,False
kl_matching,react,1476,False,False
kl_matching,rmd,1476,False,False
kl_matching,rsn_paper,1476,False,False
kl_matching,rsn_reported,1476,False,False
kl_matching,scale,1476,False,False
kl_matching,vim,1476,False,False
knn,mahalanobis,1476,False,False
knn,mahalanobispp,1476,False,False
knn,maxlogit,1476,False,False
knn,msp,1476,False,False
knn,nci,1476,False,False
knn,openmax,1476,False,False
knn,react,1476,False,False
knn,rmd,1476,False,False
knn,rsn_paper,1476,False,False
knn,rsn_reported,1476,False,False
knn,scale,1476,False,False
knn,vim,1476,False,False
mahalanobis,mahalanobispp,1476,False,False
mahalanobis,maxlogit,1476,False,False
mahalanobis,msp,1476,False,False
mahalanobis,nci,1476,False,False
mahalanobis,openmax,1476,False,False
mahalanobis,react,1476,False,False
mahalanobis,rmd,1476,False,False
mahalanobis,rsn_paper,1476,False,False
mahalanobis,rsn_reported,1476,False,False
mahalanobis,scale,1476,False,False
mahalanobis,vim,1476,False,False
mahalanobispp,maxlogit,1476,False,False
mahalanobispp,msp,1476,False,False
mahalanobispp,nci,1476,False,False
mahalanobispp,openmax,1476,False,False
mahalanobispp,react,1476,False,False
mahalanobispp,rmd,1476,False,False
mahalanobispp,rsn_paper,1476,False,False
mahalanobispp,rsn_reported,1476,False,False
mahalanobispp,scale,1476,False,False
mahalanobispp,vim,1476,False,False
maxlogit,msp,1476,False,False
maxlogit,nci,1476,False,False
maxlogit,openmax,1476,False,False
maxlogit,react,1476,False,False
maxlogit,rmd,1476,False,False
maxlogit,rsn_paper,1476,False,False
maxlogit,rsn_reported,1476,False,False
maxlogit,scale,1476,False,False
maxlogit,vim,1476,False,False
msp,nci,1476,False,False
msp,openmax,1476,False,False
msp,react,1476,False,False
msp,rmd,1476,False,False
msp,rsn_paper,1476,False,False
msp,rsn_reported,1476,False,False
msp,scale,1476,False,False
msp,vim,1476,False,False
nci,openmax,1476,False,False
nci,react,1476,False,False
nci,rmd,1476,False,False
nci,rsn_paper,1476,False,False
nci,rsn_reported,1476,False,False
nci,scale,1476,False,False
nci,vim,1476,False,False
openmax,react,1476,False,False
openmax,rmd,1476,False,False
openmax,rsn_paper,1476,False,False
openmax,rsn_reported,1476,False,False
openmax,scale,1476,False,False
openmax,vim,1476,False,False
react,rmd,1476,False,False
react,rsn_paper,1476,False,False
react,rsn_reported,1476,False,False
react,scale,1476,False,False
react,vim,1476,False,False
rmd,rsn_paper,1476,False,False
