backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
ALL,2,diag_huber_raw,168,0.916862,0.430698,0.959028
ALL,2,knn,168,0.912603,0.462614,0.956006
ALL,2,psm,168,0.901416,0.540292,0.94762
dinov2_vitb14,2,diag_huber_raw,84,0.910695,0.438441,0.956949
dinov2_vitb14,2,knn,84,0.905521,0.485458,0.951965
dinov2_vitb14,2,psm,84,0.889728,0.582284,0.940914
dinov2_vitl14,2,diag_huber_raw,84,0.923029,0.422956,0.961107
dinov2_vitl14,2,knn,84,0.919685,0.43977,0.960047
dinov2_vitl14,2,psm,84,0.913104,0.498301,0.954325
ALL,3,diag_huber_raw,336,0.896488,0.500462,0.912542
ALL,3,knn,336,0.891039,0.537261,0.905315
ALL,3,psm,336,0.871783,0.646778,0.882237
dinov2_vitb14,3,diag_huber_raw,168,0.887966,0.507885,0.907629
dinov2_vitb14,3,knn,168,0.880997,0.555749,0.896446
dinov2_vitb14,3,psm,168,0.85497,0.697776,0.866049
dinov2_vitl14,3,diag_huber_raw,168,0.905009,0.493039,0.917455
dinov2_vitl14,3,knn,168,0.90108,0.518773,0.914184
dinov2_vitl14,3,psm,168,0.888597,0.595779,0.898425
ALL,4,diag_huber_raw,420,0.878812,0.552805,0.843133
ALL,4,knn,420,0.872917,0.595091,0.83112
ALL,4,psm,420,0.847189,0.718912,0.788741
dinov2_vitb14,4,diag_huber_raw,210,0.868121,0.5623,0.834381
dinov2_vitb14,4,knn,210,0.86027,0.610071,0.816232
dinov2_vitb14,4,psm,210,0.826069,0.774359,0.760986
dinov2_vitl14,4,diag_huber_raw,210,0.889502,0.543309,0.851884
dinov2_vitl14,4,knn,210,0.885564,0.580112,0.846008
dinov2_vitl14,4,psm,210,0.868309,0.663465,0.816496
ALL,5,diag_huber_raw,336,0.862379,0.595234,0.741777
ALL,5,knn,336,0.856499,0.640101,0.725532
ALL,5,psm,336,0.825526,0.76769,0.664141
dinov2_vitb14,5,diag_huber_raw,168,0.849583,0.608901,0.728329
dinov2_vitb14,5,knn,168,0.841404,0.650118,0.704319
dinov2_vitb14,5,psm,168,0.800666,0.823052,0.625586
dinov2_vitl14,5,diag_huber_raw,168,0.875174,0.581567,0.755226
dinov2_vitl14,5,knn,168,0.871595,0.630083,0.746745
dinov2_vitl14,5,psm,168,0.850387,0.712328,0.702695
ALL,6,diag_huber_raw,168,0.845382,0.633589,0.595276
ALL,6,knn,168,0.839741,0.683533,0.577471
ALL,6,psm,168,0.804351,0.806177,0.504604
dinov2_vitb14,6,diag_huber_raw,84,0.830386,0.652113,0.57779
dinov2_vitb14,6,knn,84,0.822009,0.68957,0.552096
dinov2_vitb14,6,psm,84,0.776148,0.860588,0.461127
dinov2_vitl14,6,diag_huber_raw,84,0.860379,0.615066,0.612762
dinov2_vitl14,6,knn,84,0.857473,0.677495,0.602847
dinov2_vitl14,6,psm,84,0.832553,0.751766,0.54808
ALL,7,diag_huber_raw,48,0.822429,0.685728,0.388058
ALL,7,knn,48,0.817101,0.735543,0.372852
ALL,7,psm,48,0.777371,0.844472,0.304355
dinov2_vitb14,7,diag_huber_raw,24,0.804576,0.708044,0.370791
dinov2_vitb14,7,knn,24,0.795446,0.739496,0.349881
dinov2_vitb14,7,psm,24,0.744714,0.894214,0.266826
dinov2_vitl14,7,diag_huber_raw,24,0.840282,0.663411,0.405324
dinov2_vitl14,7,knn,24,0.838756,0.731589,0.395822
dinov2_vitl14,7,psm,24,0.810027,0.79473,0.341884
