rank,backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
1,ALL,2,diag_huber_raw,168,0.916862,0.430698,0.959028
2,ALL,2,diag_raw,168,0.916386,0.436162,0.958338
3,ALL,2,knn,168,0.912603,0.462614,0.956006
4,ALL,2,diag_huber_calib,168,0.912599,0.470622,0.956251
5,ALL,2,diag_calib,168,0.911919,0.477618,0.955467
6,ALL,2,psm,168,0.901416,0.540292,0.94762
7,ALL,2,ashp,168,0.893331,0.691574,0.936351
8,ALL,2,mah_mindist,168,0.892223,0.716864,0.932521
9,ALL,2,mahalanobis,168,0.892223,0.716864,0.932521
10,ALL,2,ashb,168,0.892223,0.69676,0.935682
11,ALL,2,mahalanobispp,168,0.892223,0.716864,0.932521
12,ALL,2,ashs,168,0.891793,0.692888,0.935858
13,ALL,2,openmax,168,0.890158,0.725318,0.931119
14,ALL,2,clip_text_energy,168,0.889707,0.721955,0.93195
15,ALL,2,react,168,0.888518,0.730521,0.930697
16,ALL,2,vim,168,0.887236,0.71702,0.927351
17,ALL,2,dice,168,0.886784,0.740707,0.929166
18,ALL,2,nci,168,0.854392,0.720775,0.922927
19,ALL,2,odin,168,0.844001,0.529235,0.935652
20,ALL,2,entropy,168,0.844001,0.529235,0.935652
21,ALL,2,gradnorm,168,0.844001,0.529235,0.935652
22,ALL,2,msp,168,0.844001,0.529235,0.935652
23,ALL,2,gen,168,0.844001,0.529235,0.935652
24,ALL,2,maxlogit,168,0.843984,0.529285,0.935645
25,ALL,2,energy,168,0.843947,0.529334,0.935609
26,ALL,2,rmd,168,0.826326,0.699134,0.917376
27,ALL,2,kl_matching,168,0.79959,0.549843,0.920125
28,ALL,2,clip_zeroshot_msp,168,0.773157,0.719499,0.879524
29,ALL,2,mcm,168,0.773157,0.719499,0.879524
30,ALL,2,tip_adapter,168,0.729173,0.62412,0.859625
31,ALL,2,scale,168,0.715129,0.724463,0.878949
