backbone,id_size,method,ood_class,n,AUROC,FPR95,AUPR_OUT
ALL,2,diag_huber_raw,cheetah,126,0.935532,0.485081,0.780991
ALL,2,diag_huber_raw,jaguar,126,0.839546,0.626208,0.635696
ALL,2,diag_huber_raw,leopard,126,0.846519,0.582399,0.667865
ALL,2,diag_huber_raw,lion,126,0.961186,0.28939,0.888334
ALL,2,diag_huber_raw,ocelot,126,0.847056,0.711166,0.643468
ALL,2,diag_huber_raw,puma,126,0.930711,0.478149,0.849029
ALL,2,diag_huber_raw,serval,126,0.937492,0.419043,0.77537
ALL,2,diag_huber_raw,tiger,126,0.978263,0.070302,0.953478
ALL,3,diag_huber_raw,cheetah,210,0.927109,0.576511,0.670186
ALL,3,diag_huber_raw,jaguar,210,0.791442,0.717838,0.470958
ALL,3,diag_huber_raw,leopard,210,0.793933,0.680822,0.50576
ALL,3,diag_huber_raw,lion,210,0.955964,0.314842,0.826609
ALL,3,diag_huber_raw,ocelot,210,0.809626,0.828502,0.476914
ALL,3,diag_huber_raw,puma,210,0.919166,0.56115,0.761342
ALL,3,diag_huber_raw,serval,210,0.923448,0.501375,0.652392
ALL,3,diag_huber_raw,tiger,210,0.975722,0.067272,0.926731
ALL,4,diag_huber_raw,cheetah,210,0.920957,0.637779,0.575764
ALL,4,diag_huber_raw,jaguar,210,0.748897,0.791215,0.345521
ALL,4,diag_huber_raw,leopard,210,0.744475,0.760812,0.375551
ALL,4,diag_huber_raw,lion,210,0.951683,0.332172,0.766842
ALL,4,diag_huber_raw,ocelot,210,0.781058,0.898619,0.358033
ALL,4,diag_huber_raw,puma,210,0.91069,0.623448,0.683338
ALL,4,diag_huber_raw,serval,210,0.9119,0.570587,0.548341
ALL,4,diag_huber_raw,tiger,210,0.974,0.062163,0.901391
ALL,5,diag_huber_raw,cheetah,126,0.916322,0.677713,0.499159
ALL,5,diag_huber_raw,jaguar,126,0.71042,0.851484,0.25226
ALL,5,diag_huber_raw,leopard,126,0.697072,0.832513,0.272507
ALL,5,diag_huber_raw,lion,126,0.947976,0.342861,0.709871
ALL,5,diag_huber_raw,ocelot,126,0.759198,0.934796,0.277915
ALL,5,diag_huber_raw,puma,126,0.903897,0.674195,0.615802
ALL,5,diag_huber_raw,serval,126,0.901734,0.634897,0.460579
ALL,5,diag_huber_raw,tiger,126,0.972766,0.058046,0.877356
ALL,6,diag_huber_raw,cheetah,42,0.912675,0.69659,0.438435
ALL,6,diag_huber_raw,jaguar,42,0.675181,0.902495,0.182908
ALL,6,diag_huber_raw,leopard,42,0.651116,0.898425,0.190391
ALL,6,diag_huber_raw,lion,42,0.944673,0.347951,0.65613
ALL,6,diag_huber_raw,ocelot,42,0.742604,0.952918,0.224804
ALL,6,diag_huber_raw,puma,42,0.89822,0.714987,0.557867
ALL,6,diag_huber_raw,serval,42,0.892542,0.695275,0.386776
ALL,6,diag_huber_raw,tiger,42,0.971827,0.055309,0.854123
ALL,7,diag_huber_raw,cheetah,6,0.909692,0.701572,0.389744
ALL,7,diag_huber_raw,jaguar,6,0.642814,0.945495,0.131094
ALL,7,diag_huber_raw,leopard,6,0.606312,0.960402,0.124353
ALL,7,diag_huber_raw,lion,6,0.941687,0.357591,0.605891
ALL,7,diag_huber_raw,ocelot,6,0.730266,0.962641,0.18864
ALL,7,diag_huber_raw,puma,6,0.893428,0.753671,0.508469
ALL,7,diag_huber_raw,serval,6,0.884135,0.749237,0.325164
ALL,7,diag_huber_raw,tiger,6,0.971098,0.055213,0.831103
ALL,ALL,diag_huber_raw,cheetah,720,0.923914,0.604137,0.616251
ALL,ALL,diag_huber_raw,jaguar,720,0.765252,0.759261,0.405294
ALL,ALL,diag_huber_raw,leopard,720,0.761865,0.728498,0.433757
ALL,ALL,diag_huber_raw,lion,720,0.953454,0.322633,0.787766
ALL,ALL,diag_huber_raw,ocelot,720,0.794448,0.855396,0.419454
ALL,ALL,diag_huber_raw,puma,720,0.914606,0.595156,0.71449
ALL,ALL,diag_huber_raw,serval,720,0.916607,0.543896,0.591776
ALL,ALL,diag_huber_raw,tiger,720,0.974881,0.063899,0.910348
dinov2_vitb14,2,diag_huber_raw,cheetah,63,0.925923,0.545663,0.758158
dinov2_vitb14,2,diag_huber_raw,jaguar,63,0.833646,0.61276,0.642342
dinov2_vitb14,2,diag_huber_raw,leopard,63,0.832905,0.580855,0.666601
dinov2_vitb14,2,diag_huber_raw,lion,63,0.96043,0.253807,0.894291
dinov2_vitb14,2,diag_huber_raw,ocelot,63,0.835384,0.723522,0.627647
