backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
dinov2_vitb14,2,diag_huber_raw,84,0.910695,0.438441,0.956949
dinov2_vitb14,2,knn,84,0.905521,0.485458,0.951965
dinov2_vitb14,2,psm,84,0.889728,0.582284,0.940914
dinov2_vitl14,2,diag_huber_raw,84,0.923029,0.422956,0.961107
dinov2_vitl14,2,knn,84,0.919685,0.43977,0.960047
dinov2_vitl14,2,psm,84,0.913104,0.498301,0.954325
dinov2_vitb14,3,diag_huber_raw,168,0.887966,0.507885,0.907629
dinov2_vitb14,3,knn,168,0.880997,0.555749,0.896446
dinov2_vitb14,3,psm,168,0.85497,0.697776,0.866049
dinov2_vitl14,3,diag_huber_raw,168,0.905009,0.493039,0.917455
dinov2_vitl14,3,knn,168,0.90108,0.518773,0.914184
dinov2_vitl14,3,psm,168,0.888597,0.595779,0.898425
dinov2_vitb14,4,diag_huber_raw,210,0.868121,0.5623,0.834381
dinov2_vitb14,4,knn,210,0.86027,0.610071,0.816232
dinov2_vitb14,4,psm,210,0.826069,0.774359,0.760986
dinov2_vitl14,4,diag_huber_raw,210,0.889502,0.543309,0.851884
dinov2_vitl14,4,knn,210,0.885564,0.580112,0.846008
dinov2_vitl14,4,psm,210,0.868309,0.663465,0.816496
dinov2_vitb14,5,diag_huber_raw,168,0.849583,0.608901,0.728329
dinov2_vitb14,5,knn,168,0.841404,0.650118,0.704319
dinov2_vitb14,5,psm,168,0.800666,0.823052,0.625586
dinov2_vitl14,5,diag_huber_raw,168,0.875174,0.581567,0.755226
dinov2_vitl14,5,knn,168,0.871595,0.630083,0.746745
dinov2_vitl14,5,psm,168,0.850387,0.712328,0.702695
dinov2_vitb14,6,diag_huber_raw,84,0.830386,0.652113,0.57779
dinov2_vitb14,6,knn,84,0.822009,0.68957,0.552096
dinov2_vitb14,6,psm,84,0.776148,0.860588,0.461127
dinov2_vitl14,6,diag_huber_raw,84,0.860379,0.615066,0.612762
dinov2_vitl14,6,knn,84,0.857473,0.677495,0.602847
dinov2_vitl14,6,psm,84,0.832553,0.751766,0.54808
dinov2_vitb14,7,diag_huber_raw,24,0.804576,0.708044,0.370791
dinov2_vitb14,7,knn,24,0.795446,0.739496,0.349881
dinov2_vitb14,7,psm,24,0.744714,0.894214,0.266826
dinov2_vitl14,7,diag_huber_raw,24,0.840282,0.663411,0.405324
dinov2_vitl14,7,knn,24,0.838756,0.731589,0.395822
dinov2_vitl14,7,psm,24,0.810027,0.79473,0.341884
