method_a,method_b,metric,n,mean_diff,ci_low,ci_high,good_rate,id_size,bonferroni_alpha,bonferroni_significant
diag_huber_raw,knn,AUROC,168,0.004259,0.002181,0.006337,0.738095,2,0.002777777777777778,True
diag_huber_raw,knn,AUROC,336,0.005449,0.003735,0.007163,0.729167,3,0.002777777777777778,True
diag_huber_raw,knn,AUROC,420,0.005894,0.004214,0.007575,0.688095,4,0.002777777777777778,True
diag_huber_raw,knn,AUROC,336,0.00588,0.003799,0.007961,0.684524,5,0.002777777777777778,True
diag_huber_raw,knn,AUROC,168,0.005642,0.002123,0.00916,0.684524,6,0.002777777777777778,True
diag_huber_raw,knn,AUROC,48,0.005328,-0.00448,0.015136,0.625,7,0.002777777777777778,False
diag_huber_raw,knn,FPR95,168,0.031916,0.021757,0.042075,0.779762,2,0.002777777777777778,True
diag_huber_raw,knn,FPR95,336,0.0368,0.027098,0.046501,0.717262,3,0.002777777777777778,True
diag_huber_raw,knn,FPR95,420,0.042287,0.03313,0.051444,0.72381,4,0.002777777777777778,True
diag_huber_raw,knn,FPR95,336,0.044867,0.03391,0.055824,0.714286,5,0.002777777777777778,True
diag_huber_raw,knn,FPR95,168,0.049943,0.029841,0.070045,0.696429,6,0.002777777777777778,True
diag_huber_raw,knn,FPR95,48,0.049815,-0.00344,0.103069,0.666667,7,0.002777777777777778,False
diag_huber_raw,knn,AUPR_OUT,168,0.003022,0.001954,0.004089,0.767857,2,0.002777777777777778,True
diag_huber_raw,knn,AUPR_OUT,336,0.007227,0.005429,0.009025,0.755952,3,0.002777777777777778,True
diag_huber_raw,knn,AUPR_OUT,420,0.012013,0.009318,0.014707,0.714286,4,0.002777777777777778,True
diag_huber_raw,knn,AUPR_OUT,336,0.016245,0.012091,0.020399,0.696429,5,0.002777777777777778,True
diag_huber_raw,knn,AUPR_OUT,168,0.017805,0.010551,0.025059,0.666667,6,0.002777777777777778,True
diag_huber_raw,knn,AUPR_OUT,48,0.015206,-0.000337,0.030748,0.5625,7,0.002777777777777778,False
diag_huber_raw,psm,AUROC,168,0.015446,0.011572,0.019321,0.767857,2,0.002777777777777778,True
diag_huber_raw,psm,AUROC,336,0.024704,0.021248,0.028161,0.869048,3,0.002777777777777778,True
diag_huber_raw,psm,AUROC,420,0.031623,0.028187,0.035058,0.935714,4,0.002777777777777778,True
diag_huber_raw,psm,AUROC,336,0.036853,0.032529,0.041176,0.985119,5,0.002777777777777778,True
diag_huber_raw,psm,AUROC,168,0.041032,0.033794,0.048269,0.97619,6,0.002777777777777778,True
diag_huber_raw,psm,AUROC,48,0.045058,0.02558,0.064537,0.895833,7,0.002777777777777778,True
diag_huber_raw,psm,FPR95,168,0.109594,0.085717,0.133472,0.857143,2,0.002777777777777778,True
diag_huber_raw,psm,FPR95,336,0.146316,0.130417,0.162215,0.973214,3,0.002777777777777778,True
diag_huber_raw,psm,FPR95,420,0.166107,0.151353,0.180862,0.990476,4,0.002777777777777778,True
diag_huber_raw,psm,FPR95,336,0.172456,0.154314,0.190598,0.997024,5,0.002777777777777778,True
diag_huber_raw,psm,FPR95,168,0.172588,0.138475,0.206701,0.928571,6,0.002777777777777778,True
