job_kind,protocol,seed,backbone,method,variant,id_size,id_set,ood_set,job_id,class_a,class_b,n_a,n_b,mean_a,mean_b,std_a,std_b,ks_stat,ks_pvalue
rsn_ks,fair,0,dinov2_vitb14,rsn,main,2,cheetah|jaguar,leopard|lion|ocelot|puma|serval|tiger,9a0f16ee445d0035e9a68f62da2b92fce7dedb3a,cheetah,jaguar,1888,1742,665.774919881659,632.722558215346,250.4837323985479,216.94213123467017,0.06693978769775633,0.0005580763715949988
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|puma,cheetah|lion|serval|tiger,51b38e38b4b9bc05bd72a6c4bc14ebed7b8babfd,jaguar,leopard,1740,1818,651.6267405016669,687.0722892266033,235.87798496653417,280.5356236920951,0.05372899358901417,0.011214603002128202
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|puma,cheetah|lion|serval|tiger,51b38e38b4b9bc05bd72a6c4bc14ebed7b8babfd,jaguar,ocelot,1740,2037,651.6267405016669,674.3079902150787,235.87798496653417,231.61720563696488,0.08077632759467102,8.85986808229572e-06
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|puma,cheetah|lion|serval|tiger,51b38e38b4b9bc05bd72a6c4bc14ebed7b8babfd,jaguar,puma,1740,3118,651.6267405016669,681.31439134599,235.87798496653417,220.73788190264455,0.1256659515014783,7.905364121907737e-16
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|puma,cheetah|lion|serval|tiger,51b38e38b4b9bc05bd72a6c4bc14ebed7b8babfd,leopard,ocelot,1818,2037,687.0722892266033,674.3079902150787,280.5356236920951,231.61720563696488,0.0708112784768904,0.0001222629741218819
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|puma,cheetah|lion|serval|tiger,51b38e38b4b9bc05bd72a6c4bc14ebed7b8babfd,leopard,puma,1818,3118,687.0722892266033,681.31439134599,280.5356236920951,220.73788190264455,0.10672619539054612,7.585989981210628e-12
rsn_ks,fair,1,dinov2_vitb14,rsn,main,4,jaguar|leopard|ocelot|puma,cheetah|lion|serval|tiger,51b38e38b4b9bc05bd72a6c4bc14ebed7b8babfd,ocelot,puma,2037,3118,674.3079902150787,681.31439134599,231.61720563696488,220.73788190264455,0.08810010319040035,8.969164966067164e-09
rsn_ks,fair,0,dinov2_vitb14,rsn,main,2,cheetah|leopard,jaguar|lion|ocelot|puma|serval|tiger,1bacd87ab10f4f1ab741a78837c6d29171195abc,cheetah,leopard,1888,1830,665.774919881659,691.529072095527,250.4837323985479,285.621300908799,0.05095049550801156,0.015300006212610963
rsn_ks,fair,0,dinov2_vitl14,rsn,main,2,cheetah|jaguar,leopard|lion|ocelot|puma|serval|tiger,97b7b692bc7fc6256e6161ef5a7bf01e663db5f9,cheetah,jaguar,1888,1742,842.2219045445071,835.455138003922,430.19371827776473,301.3846501397855,0.14806853120317578,8.514259226693021e-18
rsn_ks,fair,0,dinov2_vitb14,rsn,main,2,cheetah|lion,jaguar|leopard|ocelot|puma|serval|tiger,554a12183153b943ece6ceaa45fe98025b869ec3,cheetah,lion,1888,2628,665.774919881659,713.3183314992594,250.4837323985479,225.6955027608667,0.16796300595929103,1.5571645165512066e-27
rsn_ks,fair,1,dinov2_vitl14,rsn,main,4,jaguar|leopard|ocelot|puma,cheetah|lion|serval|tiger,76d29f26b1ab55d51ffb3de38a4c73de8b5045d6,jaguar,leopard,1740,1818,855.1660552803128,912.7405106782651,332.26680425478224,383.3092475182443,0.06817267933689919,0.00048193857661751015
