backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
ALL,2,ashb,168,0.892223,0.69676,0.935682
ALL,2,ashp,168,0.893331,0.691574,0.936351
ALL,2,ashs,168,0.891793,0.692888,0.935858
ALL,2,clip_text_energy,168,0.889707,0.721955,0.93195
ALL,2,clip_zeroshot_msp,168,0.773157,0.719499,0.879524
ALL,2,dice,168,0.886784,0.740707,0.929166
ALL,2,energy,168,0.843947,0.529334,0.935609
ALL,2,entropy,168,0.844001,0.529235,0.935652
ALL,2,gen,168,0.844001,0.529235,0.935652
ALL,2,gradnorm,168,0.844001,0.529235,0.935652
ALL,2,kl_matching,168,0.79959,0.549843,0.920125
ALL,2,knn,168,0.912603,0.462614,0.956006
ALL,2,mah_mindist,168,0.892223,0.716864,0.932521
ALL,2,mahalanobis,168,0.892223,0.716864,0.932521
ALL,2,mahalanobispp,168,0.892223,0.716864,0.932521
ALL,2,maxlogit,168,0.843984,0.529285,0.935645
ALL,2,mcm,168,0.773157,0.719499,0.879524
ALL,2,msp,168,0.844001,0.529235,0.935652
ALL,2,nci,168,0.854392,0.720775,0.922927
ALL,2,odin,168,0.844001,0.529235,0.935652
ALL,2,openmax,168,0.890158,0.725318,0.931119
ALL,2,psm,168,0.901416,0.540292,0.94762
ALL,2,react,168,0.888518,0.730521,0.930697
ALL,2,rmd,168,0.826326,0.699134,0.917376
ALL,2,scale,168,0.715129,0.724463,0.878949
ALL,2,tip_adapter,168,0.729173,0.62412,0.859625
ALL,2,vim,168,0.887236,0.71702,0.927351
dinov2_vitb14,2,ashb,84,0.8749,0.78709,0.923164
dinov2_vitb14,2,ashp,84,0.875574,0.785121,0.923355
dinov2_vitb14,2,ashs,84,0.87413,0.786545,0.92284
dinov2_vitb14,2,clip_text_energy,84,0.87512,0.804064,0.921805
dinov2_vitb14,2,clip_zeroshot_msp,84,0.742377,0.782286,0.863174
dinov2_vitb14,2,dice,84,0.871071,0.821017,0.918215
dinov2_vitb14,2,energy,84,0.845543,0.551883,0.934415
dinov2_vitb14,2,entropy,84,0.845537,0.551941,0.934344
dinov2_vitb14,2,gen,84,0.845537,0.551941,0.934344
dinov2_vitb14,2,gradnorm,84,0.845537,0.551941,0.934344
dinov2_vitb14,2,kl_matching,84,0.788899,0.574065,0.914754
dinov2_vitb14,2,knn,84,0.905521,0.485458,0.951965
dinov2_vitb14,2,mah_mindist,84,0.885869,0.725214,0.933312
dinov2_vitb14,2,mahalanobis,84,0.885869,0.725214,0.933312
dinov2_vitb14,2,mahalanobispp,84,0.885869,0.725214,0.933312
dinov2_vitb14,2,maxlogit,84,0.845538,0.551932,0.934346
dinov2_vitb14,2,mcm,84,0.742377,0.782286,0.863174
dinov2_vitb14,2,msp,84,0.845537,0.551941,0.934344
dinov2_vitb14,2,nci,84,0.833479,0.785213,0.911475
dinov2_vitb14,2,odin,84,0.845537,0.551941,0.934344
dinov2_vitb14,2,openmax,84,0.879311,0.772937,0.926536
dinov2_vitb14,2,psm,84,0.889728,0.582284,0.940914
dinov2_vitb14,2,react,84,0.873151,0.81155,0.920864
dinov2_vitb14,2,rmd,84,0.805301,0.746258,0.907468
dinov2_vitb14,2,scale,84,0.677107,0.791412,0.859966
dinov2_vitb14,2,tip_adapter,84,0.693916,0.707305,0.84095
dinov2_vitb14,2,vim,84,0.871698,0.800481,0.919043
dinov2_vitl14,2,ashb,84,0.909545,0.606431,0.948199
dinov2_vitl14,2,ashp,84,0.911089,0.598027,0.949346
dinov2_vitl14,2,ashs,84,0.909455,0.59923,0.948876
dinov2_vitl14,2,clip_text_energy,84,0.904295,0.639847,0.942095
dinov2_vitl14,2,clip_zeroshot_msp,84,0.803937,0.656712,0.895873
dinov2_vitl14,2,dice,84,0.902498,0.660397,0.940118
dinov2_vitl14,2,energy,84,0.842351,0.506785,0.936802
dinov2_vitl14,2,entropy,84,0.842465,0.506529,0.93696
dinov2_vitl14,2,gen,84,0.842465,0.506529,0.93696
dinov2_vitl14,2,gradnorm,84,0.842465,0.506529,0.93696
dinov2_vitl14,2,kl_matching,84,0.810282,0.52562,0.925495
dinov2_vitl14,2,knn,84,0.919685,0.43977,0.960047
dinov2_vitl14,2,mah_mindist,84,0.898577,0.708515,0.93173
dinov2_vitl14,2,mahalanobis,84,0.898577,0.708515,0.93173
dinov2_vitl14,2,mahalanobispp,84,0.898577,0.708515,0.93173
dinov2_vitl14,2,maxlogit,84,0.84243,0.506639,0.936944
dinov2_vitl14,2,mcm,84,0.803937,0.656712,0.895873
dinov2_vitl14,2,msp,84,0.842465,0.506529,0.93696
dinov2_vitl14,2,nci,84,0.875305,0.656338,0.93438
dinov2_vitl14,2,odin,84,0.842465,0.506529,0.93696
dinov2_vitl14,2,openmax,84,0.901005,0.6777,0.935702
dinov2_vitl14,2,psm,84,0.913104,0.498301,0.954325
dinov2_vitl14,2,react,84,0.903885,0.649491,0.940529
dinov2_vitl14,2,rmd,84,0.84735,0.652011,0.927284
dinov2_vitl14,2,scale,84,0.75315,0.657514,0.897932
dinov2_vitl14,2,tip_adapter,84,0.76443,0.540936,0.878299
dinov2_vitl14,2,vim,84,0.902774,0.633559,0.935658
