backbone,id_size,method,n,AUROC,FPR95,AUPR_OUT
ALL,2,diag_calib,168,0.911919,0.477618,0.955467
ALL,2,diag_huber_calib,168,0.912599,0.470622,0.956251
ALL,2,diag_huber_raw,168,0.916862,0.430698,0.959028
ALL,2,diag_raw,168,0.916386,0.436162,0.958338
dinov2_vitb14,2,diag_calib,84,0.906575,0.489914,0.953953
dinov2_vitb14,2,diag_huber_calib,84,0.907333,0.481908,0.954748
dinov2_vitb14,2,diag_huber_raw,84,0.910695,0.438441,0.956949
dinov2_vitb14,2,diag_raw,84,0.910224,0.445037,0.956228
dinov2_vitl14,2,diag_calib,84,0.917262,0.465321,0.956981
dinov2_vitl14,2,diag_huber_calib,84,0.917864,0.459336,0.957753
dinov2_vitl14,2,diag_huber_raw,84,0.923029,0.422956,0.961107
dinov2_vitl14,2,diag_raw,84,0.922549,0.427287,0.960447
ALL,3,diag_calib,336,0.889729,0.571549,0.902691
ALL,3,diag_huber_calib,336,0.890461,0.564044,0.904343
ALL,3,diag_huber_raw,336,0.896488,0.500462,0.912542
ALL,3,diag_raw,336,0.896058,0.506195,0.911312
dinov2_vitb14,3,diag_calib,168,0.882848,0.583464,0.898677
dinov2_vitb14,3,diag_huber_calib,168,0.88367,0.573782,0.900427
dinov2_vitb14,3,diag_huber_raw,168,0.887966,0.507885,0.907629
dinov2_vitb14,3,diag_raw,168,0.88757,0.51365,0.906354
dinov2_vitl14,3,diag_calib,168,0.89661,0.559635,0.906705
dinov2_vitl14,3,diag_huber_calib,168,0.897253,0.554306,0.908258
dinov2_vitl14,3,diag_huber_raw,168,0.905009,0.493039,0.917455
dinov2_vitl14,3,diag_raw,168,0.904546,0.498739,0.916271
ALL,4,diag_calib,420,0.871553,0.636529,0.825333
ALL,4,diag_huber_calib,420,0.872272,0.628088,0.827912
ALL,4,diag_huber_raw,420,0.878812,0.552805,0.843133
ALL,4,diag_raw,420,0.878435,0.558474,0.841322
dinov2_vitb14,4,diag_calib,210,0.863524,0.646385,0.818274
dinov2_vitb14,4,diag_huber_calib,210,0.864343,0.634509,0.821073
dinov2_vitb14,4,diag_huber_raw,210,0.868121,0.5623,0.834381
dinov2_vitb14,4,diag_raw,210,0.867796,0.56712,0.832468
dinov2_vitl14,4,diag_calib,210,0.879582,0.626674,0.832392
dinov2_vitl14,4,diag_huber_calib,210,0.880202,0.621667,0.834752
dinov2_vitl14,4,diag_huber_raw,210,0.889502,0.543309,0.851884
dinov2_vitl14,4,diag_raw,210,0.889075,0.549828,0.850176
ALL,5,diag_calib,336,0.855168,0.685605,0.715831
ALL,5,diag_huber_calib,336,0.855842,0.677124,0.71916
ALL,5,diag_huber_raw,336,0.862379,0.595234,0.741777
ALL,5,diag_raw,336,0.862064,0.601183,0.739454
dinov2_vitb14,5,diag_calib,168,0.846209,0.692127,0.705827
dinov2_vitb14,5,diag_huber_calib,168,0.84699,0.67976,0.709496
dinov2_vitb14,5,diag_huber_raw,168,0.849583,0.608901,0.728329
dinov2_vitb14,5,diag_raw,168,0.849332,0.613789,0.725867
dinov2_vitl14,5,diag_calib,168,0.864126,0.679083,0.725836
dinov2_vitl14,5,diag_huber_calib,168,0.864694,0.674487,0.728824
dinov2_vitl14,5,diag_huber_raw,168,0.875174,0.581567,0.755226
dinov2_vitl14,5,diag_raw,168,0.874797,0.588576,0.753041
ALL,6,diag_calib,168,0.838473,0.728651,0.564244
ALL,6,diag_huber_calib,168,0.839079,0.719703,0.567886
ALL,6,diag_huber_raw,168,0.845382,0.633589,0.595276
ALL,6,diag_raw,168,0.845139,0.639735,0.592709
dinov2_vitb14,6,diag_calib,84,0.828657,0.731706,0.552689
dinov2_vitb14,6,diag_huber_calib,84,0.829376,0.718351,0.556762
dinov2_vitb14,6,diag_huber_raw,84,0.830386,0.652113,0.57779
dinov2_vitb14,6,diag_raw,84,0.830211,0.656875,0.575058
dinov2_vitl14,6,diag_calib,84,0.848288,0.725596,0.575799
dinov2_vitl14,6,diag_huber_calib,84,0.848781,0.721055,0.579009
dinov2_vitl14,6,diag_huber_raw,84,0.860379,0.615066,0.612762
dinov2_vitl14,6,diag_raw,84,0.860067,0.622596,0.61036
ALL,7,diag_calib,48,0.816273,0.777013,0.35686
ALL,7,diag_huber_calib,48,0.816759,0.767188,0.360105
ALL,7,diag_huber_raw,48,0.822429,0.685728,0.388058
ALL,7,diag_raw,48,0.822284,0.691032,0.38566
dinov2_vitb14,7,diag_calib,24,0.80531,0.776862,0.347603
dinov2_vitb14,7,diag_huber_calib,24,0.805915,0.763872,0.351335
dinov2_vitb14,7,diag_huber_raw,24,0.804576,0.708044,0.370791
dinov2_vitb14,7,diag_raw,24,0.804488,0.712406,0.368117
dinov2_vitl14,7,diag_calib,24,0.827235,0.777164,0.366117
dinov2_vitl14,7,diag_huber_calib,24,0.827602,0.770503,0.368875
dinov2_vitl14,7,diag_huber_raw,24,0.840282,0.663411,0.405324
dinov2_vitl14,7,diag_raw,24,0.840081,0.669658,0.403203
