method,metric,mean_equal_id_size,ci_low,ci_high,cluster_unit
ashb,AUROC,0.5101395207092637,0.4993372428913315,0.5207607010373279,id_set_after_seed_backbone_mean
ashb,FPR95,0.9354166535566497,0.9295500084493528,0.9404550966485752,id_set_after_seed_backbone_mean
ashb,AUPR_OUT,0.4537929447691897,0.4450709962317497,0.4627148911060795,id_set_after_seed_backbone_mean
ashp,AUROC,0.5186807842554174,0.508354269198467,0.5284764884351174,id_set_after_seed_backbone_mean
ashp,FPR95,0.9501166623789984,0.9450699319787054,0.9546818597078761,id_set_after_seed_backbone_mean
ashp,AUPR_OUT,0.445768240692437,0.4386777437975636,0.45277379345701063,id_set_after_seed_backbone_mean
ashs,AUROC,0.5239207375621416,0.5151081932420256,0.5331275183846119,id_set_after_seed_backbone_mean
ashs,FPR95,0.9426485152640366,0.9378235160972611,0.9473926839007125,id_set_after_seed_backbone_mean
ashs,AUPR_OUT,0.4529377319437958,0.4459973041497692,0.4598313913255628,id_set_after_seed_backbone_mean
dice,AUROC,0.7815451592918888,0.7589671256172008,0.8033427274294601,id_set_after_seed_backbone_mean
dice,FPR95,0.8128791115253479,0.7933031406583141,0.8303733691679817,id_set_after_seed_backbone_mean
dice,AUPR_OUT,0.6427254794069298,0.6216441064731775,0.6659625268877221,id_set_after_seed_backbone_mean
energy,AUROC,0.8423107368958743,0.8320062623967108,0.8526149893360269,id_set_after_seed_backbone_mean
energy,FPR95,0.6564112943904818,0.6360089135680556,0.6759727389568555,id_set_after_seed_backbone_mean
energy,AUPR_OUT,0.7099688057335541,0.6941109408549635,0.7276107182334567,id_set_after_seed_backbone_mean
entropy,AUROC,0.8466347291716433,0.8364617887796804,0.8563540109547266,id_set_after_seed_backbone_mean
entropy,FPR95,0.6563289902291568,0.6363600139401743,0.6763242422564668,id_set_after_seed_backbone_mean
entropy,AUPR_OUT,0.7128537173153439,0.6969527778264683,0.7307599952794631,id_set_after_seed_backbone_mean
gen,AUROC,0.8438238566711164,0.8336624911311384,0.8539445902056665,id_set_after_seed_backbone_mean
gen,FPR95,0.6565627714525756,0.6356196284695352,0.6763340539076015,id_set_after_seed_backbone_mean
gen,AUPR_OUT,0.7108615362254875,0.6948435798565011,0.7288533864375049,id_set_after_seed_backbone_mean
gradnorm,AUROC,0.8442898493797771,0.8335184609265517,0.8548633699051621,id_set_after_seed_backbone_mean
gradnorm,FPR95,0.658319871681512,0.6369934730825941,0.6781959680480206,id_set_after_seed_backbone_mean
gradnorm,AUPR_OUT,0.7104584305244588,0.6936483858949454,0.7290299529139243,id_set_after_seed_backbone_mean
kl_matching,AUROC,0.8271424466618197,0.8115773713588249,0.8410303561299793,id_set_after_seed_backbone_mean
kl_matching,FPR95,0.6343259155677344,0.6095614669606257,0.659376385742286,id_set_after_seed_backbone_mean
kl_matching,AUPR_OUT,0.7235166959059208,0.7004962821073846,0.7473431092203412,id_set_after_seed_backbone_mean
knn,AUROC,0.8649832937862648,0.8494071469703196,0.8798066584623885,id_set_after_seed_backbone_mean
knn,FPR95,0.6090237820496643,0.5679215251273638,0.6439044002167882,id_set_after_seed_backbone_mean
knn,AUPR_OUT,0.7280494234134558,0.7007954905960814,0.7583738746712361,id_set_after_seed_backbone_mean
mahalanobis,AUROC,0.8381972167015848,0.8217694267123085,0.8535909979171745,id_set_after_seed_backbone_mean
mahalanobis,FPR95,0.7259253341439454,0.6981311283316654,0.7508315318370434,id_set_after_seed_backbone_mean
mahalanobis,AUPR_OUT,0.6819824912867394,0.6600392560404053,0.7069565038737069,id_set_after_seed_backbone_mean
mahalanobispp,AUROC,0.8352103803492154,0.8190354397753394,0.8511714706819866,id_set_after_seed_backbone_mean
mahalanobispp,FPR95,0.7359723186669962,0.7089237433246688,0.7606374980134953,id_set_after_seed_backbone_mean
mahalanobispp,AUPR_OUT,0.6784020954170482,0.656483280991829,0.7028318314210196,id_set_after_seed_backbone_mean
maxlogit,AUROC,0.8528380791435931,0.8427065975880553,0.8620828443833786,id_set_after_seed_backbone_mean
maxlogit,FPR95,0.6601571734976108,0.6409280160741772,0.6785824045483989,id_set_after_seed_backbone_mean
maxlogit,AUPR_OUT,0.7182803168775735,0.7017360570324259,0.7350516337131761,id_set_after_seed_backbone_mean
msp,AUROC,0.8542032798212946,0.8440618946468806,0.8636289434084575,id_set_after_seed_backbone_mean
msp,FPR95,0.6612295769426825,0.6423098025350595,0.6794499218914754,id_set_after_seed_backbone_mean
msp,AUPR_OUT,0.7192584368796243,0.7030698400417449,0.7362876944412081,id_set_after_seed_backbone_mean
nci,AUROC,0.8152600067617817,0.7993843379512136,0.8300252432660672,id_set_after_seed_backbone_mean
nci,FPR95,0.7460918458930998,0.7278120276655136,0.7640910773377906,id_set_after_seed_backbone_mean
nci,AUPR_OUT,0.6739249249931608,0.6552366758870457,0.6940221283936728,id_set_after_seed_backbone_mean
openmax,AUROC,0.8575631085050177,0.8464087472012963,0.8681082444490359,id_set_after_seed_backbone_mean
openmax,FPR95,0.6282800723235379,0.5984969453929294,0.6545379026241042,id_set_after_seed_backbone_mean
openmax,AUPR_OUT,0.7379934347796601,0.7145551458405174,0.7646820269892527,id_set_after_seed_backbone_mean
react,AUROC,0.6705710402780474,0.6590286687640472,0.6821697622943256,id_set_after_seed_backbone_mean
react,FPR95,0.8538136409257303,0.840707313267698,0.8662356676540831,id_set_after_seed_backbone_mean
react,AUPR_OUT,0.5623231353250504,0.5491390759200923,0.5762604032510315,id_set_after_seed_backbone_mean
rmd,AUROC,0.8402943279906837,0.8205608883283859,0.8575785930720116,id_set_after_seed_backbone_mean
rmd,FPR95,0.5948706805475634,0.5658453907616068,0.6234004333219675,id_set_after_seed_backbone_mean
rmd,AUPR_OUT,0.7486192371121431,0.7220833939498366,0.774813634689355,id_set_after_seed_backbone_mean
