scope,method_a,method_b,metric,cluster_unit,n_clusters,mean_effect,ci_low,ci_high,permutation_p,good_rate
id_size=2,rsn_class_std_huber_k150,class_iqr_huber_k150,AUROC,id_set_after_seed_backbone_mean,28,0.0005858209102271598,-0.0005533446908197514,0.001756754678385782,0.34366563343665635,0.6428571428571429
id_size=3,rsn_class_std_huber_k150,class_iqr_huber_k150,AUROC,id_set_after_seed_backbone_mean,56,0.0005529896663333673,-0.00036468997692794703,0.0014598899342221645,0.24317568243175683,0.5357142857142857
id_size=4,rsn_class_std_huber_k150,class_iqr_huber_k150,AUROC,id_set_after_seed_backbone_mean,70,0.000722811788680735,-0.00016608244056895373,0.0015625120974476056,0.11158884111588842,0.6285714285714286
id_size=5,rsn_class_std_huber_k150,class_iqr_huber_k150,AUROC,id_set_after_seed_backbone_mean,56,0.0009693810706569273,-9.485841346716572e-05,0.001986901735069805,0.07829217078292171,0.625
id_size=6,rsn_class_std_huber_k150,class_iqr_huber_k150,AUROC,id_set_after_seed_backbone_mean,28,0.0011819662356656036,-0.0005506928160835834,0.0028139419605303414,0.18758124187581243,0.6428571428571429
id_size=7,rsn_class_std_huber_k150,class_iqr_huber_k150,AUROC,id_set_after_seed_backbone_mean,8,0.001202610173970007,-0.0026902384711111247,0.005319775013646965,0.5882411758824118,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_iqr_huber_k150,AUROC,id_set_stratified_by_id_size,246,0.0008692633075889668,9.26286314749076e-05,0.0016769341418661034,0.001999800019998,0.6097560975609756
id_size=2,rsn_class_std_huber_k150,class_iqr_huber_k150,FPR95,id_set_after_seed_backbone_mean,28,0.004079663399550623,-0.0007337706840952637,0.008634378695284496,0.10168983101689831,0.7142857142857143
id_size=3,rsn_class_std_huber_k150,class_iqr_huber_k150,FPR95,id_set_after_seed_backbone_mean,56,0.001475108113340329,-0.0021943280575415884,0.004919321241675815,0.41235876412358763,0.5357142857142857
id_size=4,rsn_class_std_huber_k150,class_iqr_huber_k150,FPR95,id_set_after_seed_backbone_mean,70,0.0006213130873519993,-0.00308481858160622,0.004029679897631382,0.7447255274472553,0.5857142857142857
id_size=5,rsn_class_std_huber_k150,class_iqr_huber_k150,FPR95,id_set_after_seed_backbone_mean,56,6.704372089430099e-05,-0.004695956469363687,0.0048727248366004765,0.9774022597740226,0.5178571428571429
id_size=6,rsn_class_std_huber_k150,class_iqr_huber_k150,FPR95,id_set_after_seed_backbone_mean,28,0.0004482129527996412,-0.008515534386253423,0.008916552693292197,0.9242075792420757,0.6428571428571429
id_size=7,rsn_class_std_huber_k150,class_iqr_huber_k150,FPR95,id_set_after_seed_backbone_mean,8,-0.0010770376582788857,-0.03070896648788278,0.020594185853381932,0.9769023097690231,0.75
m2_m7_equal_weight,rsn_class_std_huber_k150,class_iqr_huber_k150,FPR95,id_set_stratified_by_id_size,246,0.0009357172692763346,-0.00429539236737709,0.005176354056348579,0.36796320367963203,0.5853658536585366
id_size=2,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,28,0.0007277547751273285,0.00018077249315017594,0.0012948624578640665,0.0212978702129787,0.6071428571428571
id_size=3,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,56,0.0007015213291935976,-5.2022873738600274e-05,0.001429823518530181,0.07439256074392561,0.6607142857142857
id_size=4,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,70,0.0008358187007576337,-0.00031874270410912106,0.001872499317349698,0.1352864713528647,0.6285714285714286
id_size=5,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,56,0.0011071586416472085,-0.0008399308080100252,0.0027961742041019235,0.23077692230776922,0.5714285714285714
id_size=6,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,28,0.0015647645438399394,-0.0018574275183925765,0.0048493339492593135,0.3635636436356364,0.6428571428571429
id_size=7,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT,id_set_after_seed_backbone_mean,8,0.0011844903215894932,-0.008617089206008732,0.009191645111540154,0.7789221077892211,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT,id_set_stratified_by_id_size,246,0.0010202513853592,-0.0006954179902695758,0.0025539307476309084,0.0093990600939906,0.6219512195121951
id_size=2,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.0017496152500459383,0.0005491154276447286,0.0029982230233803046,0.008799120087991202,0.6785714285714286
id_size=3,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,56,0.0011801169989802654,0.00016829014869943558,0.002155100314534252,0.024297570242975703,0.6785714285714286
id_size=4,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,70,0.0010186797757411347,-4.796616975393603e-06,0.0019818768694366507,0.0458954104589541,0.6285714285714286
id_size=5,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,56,0.0009963100258475234,-0.0004131159256411969,0.0023009817069307103,0.1665833416658334,0.5892857142857143
id_size=6,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,28,0.0007759109390356639,-0.0016444380728646783,0.0030795435399392384,0.5345465453454654,0.5357142857142857
id_size=7,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_after_seed_backbone_mean,8,0.00019218343194078724,-0.005601771329305516,0.005321609082123969,0.9374062593740626,0.625
m2_m7_equal_weight,rsn_class_std_huber_k150,class_iqr_huber_k150,AUPR_OUT_BALANCED,id_set_stratified_by_id_size,246,0.000985469403598552,-0.00013970654783267784,0.00201231303656135,0.00039996000399960006,0.6260162601626016
id_size=2,rsn_class_std_huber_k150,class_mad_huber_k150,AUROC,id_set_after_seed_backbone_mean,28,0.0005276718890042829,-0.000656171299748767,0.0016936770526594523,0.3965603439656034,0.6071428571428571
