method,ood_class,AUROC,FPR95,AUPR_OUT,AUPR_OUT_BALANCED
class_iqr_huber_k150,cheetah,0.9279557519068344,0.5592692176388467,0.6286871502242477,0.8571857953334494
class_iqr_huber_k150,jaguar,0.7671540097853587,0.7574214762038898,0.4084278310318405,0.7128300214054845
class_iqr_huber_k150,leopard,0.7565668818980923,0.7272882783744405,0.4331737333697286,0.7042197730289245
class_iqr_huber_k150,lion,0.9525626140612233,0.32901480098531666,0.7865897331124523,0.9091776061804573
class_iqr_huber_k150,ocelot,0.7972868482785586,0.8516563705111335,0.4244684057123698,0.7075337606490207
class_iqr_huber_k150,puma,0.9103003304458344,0.6234596974150197,0.7023347080437354,0.8423262380276028
class_iqr_huber_k150,serval,0.9152195625096191,0.5476785023899243,0.5870564463374555,0.8727118125445964
class_iqr_huber_k150,tiger,0.9737589616233708,0.0709297900982416,0.9039399515155845,0.9586104364259387
class_mad_huber_k150,cheetah,0.9282852062059348,0.5553109624265103,0.6295515361969033,0.8578642055985951
class_mad_huber_k150,jaguar,0.7667043145316815,0.7566733002236412,0.408653920137614,0.7126116537292334
class_mad_huber_k150,leopard,0.756505923726111,0.7256508187487293,0.43396549320448197,0.7044640783251547
class_mad_huber_k150,lion,0.9524004631634797,0.3333038988854096,0.7859867767067487,0.9088316784535365
class_mad_huber_k150,ocelot,0.7979836614783821,0.8520187779963866,0.42506420862621813,0.7081487658267612
class_mad_huber_k150,puma,0.9101436701141087,0.6226972562093073,0.7021026680285355,0.8421838291139252
class_mad_huber_k150,serval,0.9153069739056375,0.5474711272935626,0.5873375636273301,0.8728706249708347
class_mad_huber_k150,tiger,0.9737652389146705,0.07109147438698037,0.9040778323650115,0.9586925915225145
class_std_euclidean_k150,cheetah,0.925037126337745,0.5954014977027601,0.6422928417514826,0.851536587635807
class_std_euclidean_k150,jaguar,0.7801822642986582,0.7365314939386719,0.4465284068065788,0.726497007150951
class_std_euclidean_k150,leopard,0.7798556736441519,0.7027442955245429,0.4763880840041352,0.7252926049869214
class_std_euclidean_k150,lion,0.9544087614187808,0.32645697467190077,0.805030241709578,0.9107149979535419
class_std_euclidean_k150,ocelot,0.8041833915308408,0.8325025437648819,0.45953358629484303,0.7162651182905986
class_std_euclidean_k150,puma,0.917468692606765,0.5794308438957945,0.7396585707957996,0.8548091535452661
class_std_euclidean_k150,serval,0.9207541005593297,0.5196838235909256,0.6261069872584774,0.8804795007784599
class_std_euclidean_k150,tiger,0.9748547845360596,0.06753012623795653,0.9157891151463136,0.9605911561303568
class_std_squared_k150,cheetah,0.9228918741336121,0.614549937871669,0.609982758802007,0.8466187496930568
class_std_squared_k150,jaguar,0.7649610806453322,0.7628643283986045,0.4026182886339263,0.7094343936764169
class_std_squared_k150,leopard,0.7615175170070589,0.733248100667633,0.43047903894147743,0.7056356311349804
class_std_squared_k150,lion,0.9529815910670323,0.3261901876330871,0.7843385234954675,0.9076585202608354
class_std_squared_k150,ocelot,0.7941033520690705,0.8574884473342043,0.4182857710883663,0.7028625391141251
class_std_squared_k150,puma,0.9142897233316423,0.6045447818388701,0.7114130521320217,0.8480832205180704
class_std_squared_k150,serval,0.9161033768939997,0.548063579886164,0.5872165786255561,0.8733596117659524
class_std_squared_k150,tiger,0.9738858537589425,0.06798989697656241,0.9040224452050136,0.9588068277147995
global_std_euclidean_k150,cheetah,0.9207993308022722,0.6243114805472186,0.627426751944656,0.844314848799168
