experiment_id,cycle,hypothesis_id,stage,status,method,config_sha256,proxy_mean_rank,proxy_worst_delta,macro_AUROC,macro_FPR95,macro_AUPR_OUT,imagenet_o_AUROC,delta_AUROC_vs_RC_MSPS,delta_FPR95_vs_RC_MSPS,notes
F00,0,F00_msps_vim_fixed_fusion,legacy_full,failed,MSPS-ViM Simple Fusion,afece108972ec9ade325e989fa6b8fce6bae6c9efe40f186290b67bd949f1ee2,,,0.859667557334065,0.5957395294320404,0.5139972430734112,0.749946,-0.0279687624797057,0.1613228685687756,ID-only class-holdout selection did not transfer
B01,1,B01_exact_nnguide_protocol_reproduction,legacy_full,completed_below_sota,NNGuide,52ca36d2e6ac0ec3e47750b8c7bb3092bae5f130b8d6bc85ed49750ee0d434a6,,,0.8535489330198424,0.5461162363356266,0.5389883510405162,0.75420197,-0.0340873867939283,0.1116995754723618,Official formula with deterministic 10-per-class ID train bank and k=10
H06,1,H06,legacy_full,failed,CauchyStageTail,,,,0.855692,0.487968,0.569837,0.76611688,-0.031944,0.053551,Proxy winner failed semantic transfer
H23,1,H23,legacy_full,failed,TruncatedStageProduct,,,,0.843200,0.526777,0.534301,0.75624115,-0.044436,0.092360,Two-worst-stage product
H24,1,H24,legacy_full,failed,RobustStageMedian,,,,0.783274,0.653764,0.428069,0.746362115,-0.104363,0.219347,Median stage evidence
H27,2,H27,legacy_full,failed,ClassCenterCorrection,,,,0.874300,0.474809,0.584729,0.751046,-0.013336,0.040393,Class difficulty equalization removed useful absolute scale
H30,2,H30,legacy_full,failed,CenterHubnessCorrection,,,,0.875925,0.470560,0.588154,0.752924,-0.011712,0.036143,Center and prototype hub correction
H32,3,H32,legacy_full,failed,PerViewMeanSupport-clean,,,,0.891390,0.433548,0.619185,0.781270,0.003754,-0.000869,Disjoint ID-validation selected canonical plus flip
H35,4,H35,legacy_full,current_clean_pareto,MVRC-mean,,,,0.892172,0.430616,0.621291,0.780376,0.004536,-0.003801,Fixed clean two-view support plus RC mean
H41,5,H41,legacy_full,failed,TTAClassifierConfidence,,,,0.782537,0.677161,0.429166,0.562346,-0.105099,0.242744,Mean deterministic-view logits
H52,6,H52,legacy_full,failed,TangentDeepGeometric,,,,0.866254,0.494737,0.573617,0.741257,-0.021382,0.060320,Positive tangent ranks did not survive proxy selection
H53,6,H53,legacy_full,failed,TangentDeepMinimum,,,,0.866750,0.470613,0.562411,0.738836,-0.020886,0.036196,Rank-zero control only
H54,6,H54,legacy_full,failed,InsignificantPrototype,,,,0.865217,0.498182,0.570503,0.788040,-0.022419,0.063765,Compact ActSub prototype
H59,7,H59,legacy_full,failed,NullspaceDeepGeometric,,,,0.890103,0.432228,0.621631,0.790799,0.002467,-0.002189,Four-centroid nullspace screen selected one-center control
H60,7,H60,legacy_full,failed,NullspaceDeepAgreement,,,,0.889880,0.434811,0.620624,0.791351,0.002244,0.000394,Fixed disagreement penalty
H63,8,H63,id_only_proxy,rejected,ExactGradNorm,,4.0,-0.347134,,,,,,,Exact vectorized OpenOOD formula
H66,8,H66,legacy_full,failed,LocalRadiusDeepGeometric,,,,0.834331,0.571839,0.505383,0.715698,-0.053305,0.137422,20k train-only local-radius bank
KNNK,9,B03_full_bank_knn_k_diagnostic,legacy_diagnostic,completed,KNN-k200,,,,0.839136,0.638119,,0.821822,-0.048500,0.203702,ImageNet-O target met but macro performance failed and bank is 200k
H70,9,H70,legacy_full,failed,BankTailDeepGeometric,,,,0.883775,0.471344,0.595134,0.809763,-0.003861,0.036927,Official-form 20k ActSub tail plus deep support
H71,9,H71,legacy_full,failed,BankActSubTail,,,,0.805563,0.637802,0.443134,0.804400,-0.082073,0.203385,Official insignificant-subspace local score
H73,10,H73,id_only_proxy,rejected,ClassRestrictedKNN,,,,,,,,,,No configuration passed clean proxy gate
H74,10,H74,id_only_proxy,rejected,ClassRestrictedRadius,,,,,,,,,,Train-only local-radius normalization failed proxy gate
