method,split,case_type,rank,path,score,decision_threshold
PULSE,ImageNet-1K-ID,false_reject,1,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00030176.JPEG,10.748557090759277,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,2,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00039775.JPEG,10.20235824584961,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,3,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00024714.JPEG,9.162067413330078,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,4,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00049510.JPEG,9.083712577819824,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,5,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00023793.JPEG,9.007881164550781,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,6,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00015889.JPEG,8.917475700378418,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,7,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00011552.JPEG,8.828011512756348,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,8,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00042170.JPEG,8.677757263183594,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,9,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00007238.JPEG,8.615154266357422,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,10,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00001871.JPEG,8.587818145751953,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,11,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00026530.JPEG,8.517609596252441,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,12,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00022554.JPEG,8.439311027526855,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,13,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00013774.JPEG,8.393683433532715,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,14,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00026438.JPEG,8.33332633972168,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,15,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00011647.JPEG,8.21990966796875,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,16,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00026923.JPEG,8.175472259521484,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,17,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00048776.JPEG,8.155427932739258,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,18,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00002310.JPEG,8.130061149597168,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,19,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00045282.JPEG,8.099778175354004,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,20,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00016698.JPEG,8.058701515197754,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,21,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00019149.JPEG,8.048580169677734,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,22,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00015946.JPEG,7.940375328063965,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,23,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00000687.JPEG,7.936344623565674,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,24,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00016646.JPEG,7.9066853523254395,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,25,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00029071.JPEG,7.871065616607666,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,26,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00007039.JPEG,7.829257965087891,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,27,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00023988.JPEG,7.793377876281738,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,28,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00024110.JPEG,7.674201011657715,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,29,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00027724.JPEG,7.651522636413574,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,30,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00013948.JPEG,7.545167446136475,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,31,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00027666.JPEG,7.540868759155273,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,32,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00047352.JPEG,7.534958362579346,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,33,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00022923.JPEG,7.5289082527160645,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,34,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00019758.JPEG,7.518909454345703,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,35,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00006007.JPEG,7.511860370635986,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,36,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00038822.JPEG,7.4486517906188965,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,37,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00042040.JPEG,7.394047737121582,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,38,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00042538.JPEG,7.3734660148620605,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,39,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00012876.JPEG,7.369884014129639,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,40,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00035658.JPEG,7.36681604385376,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,41,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00010469.JPEG,7.341605186462402,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,42,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00030436.JPEG,7.3304877281188965,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,43,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00030535.JPEG,7.310761451721191,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,44,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00009632.JPEG,7.293085098266602,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,45,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00004519.JPEG,7.292792320251465,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,46,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00003863.JPEG,7.226969242095947,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,47,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00032794.JPEG,7.209025859832764,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,48,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00012431.JPEG,7.2078537940979,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,49,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00008807.JPEG,7.173367023468018,4.07577700614929
PULSE,ImageNet-1K-ID,false_reject,50,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00043533.JPEG,7.167816638946533,4.07577700614929
RC-MSPS,ImageNet-1K-ID,false_reject,1,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00018025.JPEG,-5.923274040222168,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,2,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00023766.JPEG,-5.91628360748291,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,3,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00015889.JPEG,-5.821858882904053,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,4,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00035658.JPEG,-5.662795066833496,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,5,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00036775.JPEG,-5.6260762214660645,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,6,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00016698.JPEG,-5.538559436798096,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,7,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00042170.JPEG,-5.51066780090332,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,8,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00046618.JPEG,-5.508678913116455,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,9,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00013774.JPEG,-5.476792335510254,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,10,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00007039.JPEG,-5.388683795928955,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,11,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00015946.JPEG,-5.374863624572754,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,12,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00004481.JPEG,-5.369373798370361,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,13,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00019758.JPEG,-5.366679668426514,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,14,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00041631.JPEG,-5.3200507164001465,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,15,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00003995.JPEG,-5.2990617752075195,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,16,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00033179.JPEG,-5.264467239379883,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,17,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00021286.JPEG,-5.260250568389893,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,18,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00034635.JPEG,-5.226180553436279,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,19,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00008807.JPEG,-5.173008918762207,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,20,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00033436.JPEG,-5.169335842132568,-2.867911720275879
RC-MSPS,ImageNet-1K-ID,false_reject,21,/home/omote/datasets/openood_official/images_largescale/imagenet_1k/val/ILSVRC2012_val_00038117.JPEG,-5.162323951721191,-2.867911720275879
