method,dataset,AUROC,FPR95,AUPR_OUT
PULSE,texture,0.9611498372093024,0.16647286821705426,0.8198614079609666
PULSE,inaturalist,0.9541282120000001,0.2486,0.7525283400189727
PULSE,openimage_o,0.9093340948275862,0.4743080762250454,0.7664023214236448
PULSE,imagenet_o,0.8210932,0.7105,0.1656441129723038
PULSE-minus-shift,texture,0.948009589147287,0.22887596899224807,0.7761281744800813
PULSE-minus-shift,inaturalist,0.9644639119999999,0.1662,0.8356201722622445
PULSE-minus-shift,openimage_o,0.8855301361161525,0.5490018148820327,0.7108179066504593
PULSE-minus-shift,imagenet_o,0.81419472,0.7165,0.1598067969335861
PULSE-minus-uniform,texture,0.9634732364341084,0.14844961240310078,0.8346338919686807
PULSE-minus-uniform,inaturalist,0.920225388,0.4847,0.6343313616373645
PULSE-minus-uniform,openimage_o,0.8930908836206896,0.5277903811252269,0.7368287701444093
PULSE-minus-uniform,imagenet_o,0.8290537,0.6805,0.18196739963176237
PULSE-minus-localized,texture,0.9466540891472868,0.25949612403100775,0.7260539115385222
PULSE-minus-localized,inaturalist,0.907521192,0.6729,0.5354324070733286
PULSE-minus-localized,openimage_o,0.8757775618194191,0.6116719600725953,0.6907926229923682
PULSE-minus-localized,imagenet_o,0.8071200600000001,0.7415,0.138344344734706
PULSE-minus-knn,texture,0.9464893817829457,0.2624031007751938,0.7289255676104905
PULSE-minus-knn,inaturalist,0.9600504579999999,0.1937,0.7835278120713283
PULSE-minus-knn,openimage_o,0.9205069271778585,0.410220054446461,0.7957264388023734
PULSE-minus-knn,imagenet_o,0.7826515,0.7815,0.11947601009069078
PULSE-only-shift,texture,0.7793584011627909,0.5540697674418604,0.4358597082819824
PULSE-only-shift,inaturalist,0.5116218830000001,0.9364,0.17335736571055071
PULSE-only-shift,openimage_o,0.7328275618194194,0.6887477313974592,0.5311486065022437
PULSE-only-shift,imagenet_o,0.6228590199999999,0.84,0.06925875127608677
PULSE-only-uniform,texture,0.382757585271318,0.9906976744186047,0.08215928257750726
PULSE-only-uniform,inaturalist,0.7990354339999999,0.8004,0.38411832726014195
PULSE-only-uniform,openimage_o,0.579746899954628,0.9093693284936479,0.32181440175833576
PULSE-only-uniform,imagenet_o,0.4188747850000001,0.972,0.034856789323219964
PULSE-only-localized,texture,0.9459963527131783,0.24147286821705427,0.7736389599502247
PULSE-only-localized,inaturalist,0.953735686,0.217,0.8379834444089764
PULSE-only-localized,openimage_o,0.8960768358666061,0.5034029038112523,0.7500449396581133
PULSE-only-localized,imagenet_o,0.7991147349999999,0.738,0.14764323883015626
PULSE-only-knn,texture,0.9436084108527133,0.23372093023255813,0.7853159867240848
PULSE-only-knn,inaturalist,0.8445486090000001,0.7473,0.44189138329513217
PULSE-only-knn,openimage_o,0.7895664865018148,0.78125,0.5365836821819212
PULSE-only-knn,imagenet_o,0.833025345,0.6495,0.21036921231930653
